timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,4.98,-0.48,7.57,-21.00,-42.97,104.13
10,4.92,0.49,7.77,-27.71,-41.38,114.01
20,6.43,1.57,8.42,-29.36,-39.61,106.14
30,6.12,2.37,8.80,-27.53,-32.96,93.81
40,6.19,2.93,8.89,-24.11,-26.37,81.36
50,6.35,3.10,8.79,-20.02,-22.46,69.03
60,6.08,3.65,9.14,-17.27,-11.11,38.15
70,5.66,4.23,9.79,-8.79,-5.37,22.34
80,5.31,4.18,9.78,-1.71,1.83,5.98
90,4.91,4.12,9.68,3.30,9.77,-7.57
100,4.52,4.14,9.59,7.45,16.05,-18.74
110,4.25,4.01,9.38,11.96,20.32,-27.34
120,3.72,3.40,8.45,24.17,24.66,-41.14
130,3.52,3.01,7.77,30.88,24.84,-46.45
140,3.28,2.63,7.00,34.30,23.50,-50.60
150,3.19,2.23,6.21,34.42,22.71,-54.81
160,2.84,3.47,4.63,31.92,22.40,-59.81
170,3.39,1.88,5.18,24.54,25.33,-79.41
180,3.14,1.60,4.54,21.91,28.69,-95.28
190,2.59,0.85,3.63,17.03,32.84,-109.50
200,2.54,0.15,2.94,9.46,35.10,-118.90
210,2.28,-0.43,2.42,0.37,35.28,-125.49
220,2.03,-0.87,2.10,-13.00,28.02,-133.67
230,1.69,-1.44,1.61,-14.71,21.06,-133.91
240,1.71,-1.71,1.49,-13.00,10.68,-132.75
250,1.78,-2.18,1.17,-6.35,-2.14,-131.96
260,1.97,-2.89,0.71,1.16,-15.56,-130.74
270,2.16,-3.64,0.38,5.49,-29.48,-128.36
280,2.01,-4.58,0.65,3.97,-53.53,-128.91
290,1.60,-4.97,1.13,2.81,-63.11,-131.59
300,1.05,-5.51,1.53,3.42,-72.69,-135.13
310,0.59,-6.12,1.97,3.85,-81.12,-138.06
320,0.23,-6.79,2.48,3.30,-86.73,-139.77
330,-0.28,-8.42,3.49,10.38,-91.98,-143.98
340,-0.27,-9.42,3.48,21.18,-95.09,-146.18
350,-0.51,-10.42,3.12,31.86,-99.00,-147.46
360,-0.71,-11.31,2.77,37.23,-102.72,-146.67
370,-0.74,-12.08,2.56,36.50,-106.45,-143.49
380,-0.86,-12.83,2.44,21.61,-110.11,-134.58
390,-1.60,-13.48,3.45,10.80,-111.27,-127.38
400,-1.91,-13.65,4.71,3.78,-115.23,-118.90
410,-2.09,-13.83,6.07,3.30,-122.44,-108.83
420,-1.97,-14.16,7.30,8.85,-130.55,-96.50
430,-1.60,-14.29,8.33,18.07,-144.41,-65.92
440,-0.43,-14.29,9.90,32.59,-147.34,-51.64
450,0.15,-14.28,10.49,34.48,-146.18,-41.08
460,0.63,-14.28,11.02,32.17,-141.60,-34.61
470,0.82,-14.17,11.85,25.27,-135.19,-30.64
480,0.84,-14.00,13.02,15.01,-130.07,-25.94
490,1.07,-14.12,15.19,0.24,-120.67,-11.90
500,1.03,-14.33,15.94,-3.42,-111.27,-5.00
510,0.93,-14.38,16.58,-7.57,-99.49,2.50
520,0.78,-14.31,17.22,-14.59,-88.26,12.63
530,0.70,-14.05,18.18,-22.64,-78.12,24.41
540,0.67,-13.27,19.84,-30.15,-56.15,46.94
550,0.49,-12.98,19.96,-30.88,-39.49,55.18
560,0.19,-12.73,19.81,-35.64,-19.35,62.26
570,0.02,-12.38,19.79,-44.86,2.38,69.95
580,0.06,-11.98,19.71,-53.53,23.50,77.94
590,-0.03,-11.57,19.43,-56.82,60.18,89.05
600,-0.62,-10.61,17.80,-54.20,75.26,92.04
610,-1.02,-10.19,16.46,-51.39,88.99,94.73
620,-1.26,-9.85,14.90,-53.22,101.68,98.14
630,-1.34,-9.47,13.69,-60.73,113.71,101.99
640,-1.44,-8.87,12.74,-69.34,125.24,106.51
650,-1.48,-7.46,11.10,-77.15,145.81,107.54
660,-1.54,-6.70,10.03,-75.68,153.32,107.18
670,-1.57,-5.96,9.06,-73.73,157.90,106.75
680,-1.48,-5.19,8.54,-72.39,159.06,106.08
690,-1.44,-4.20,8.36,-69.15,157.29,104.98
700,-0.84,-2.19,7.57,-52.61,152.34,99.24
710,-0.59,-1.27,6.89,-45.10,148.62,93.75
720,-0.30,-0.47,6.18,-41.93,143.92,87.28
730,0.08,0.16,5.63,-41.56,139.22,80.02
740,0.31,0.80,5.52,-41.99,134.58,71.29
750,0.50,1.43,5.31,-35.71,125.00,53.96
760,0.85,2.30,4.98,-30.82,123.66,47.36
770,1.21,2.90,4.70,-28.26,123.29,39.86
780,1.61,3.46,4.06,-26.61,123.29,30.03
790,1.83,3.83,2.91,-25.82,122.50,17.64
800,2.25,4.02,2.20,-27.77,110.29,-11.72
810,2.64,3.23,1.85,-20.26,99.85,-27.53
820,2.44,2.29,0.91,-6.59,89.54,-41.50
830,2.29,1.21,-0.42,4.39,79.90,-51.57
840,2.24,0.04,-1.65,7.87,69.95,-58.65
850,2.28,-1.00,-2.34,3.72,58.96,-63.60
860,2.80,-3.21,-2.26,-15.32,34.79,-66.96
870,3.01,-4.28,-1.57,-23.07,21.61,-66.22
880,3.15,-5.20,-0.50,-26.98,8.85,-63.05
890,3.25,-5.87,0.63,-23.13,-2.44,-58.29
900,3.45,-6.56,1.58,-12.70,-14.34,-53.04
910,3.62,-8.07,2.99,8.54,-35.03,-45.29
920,3.64,-8.51,3.87,13.06,-38.57,-42.30
930,3.66,-8.88,4.78,14.77,-37.29,-39.18
940,3.64,-9.09,5.55,14.22,-33.20,-35.28
950,3.68,-9.14,6.21,12.82,-27.71,-30.03
960,3.87,-8.92,6.67,8.06,-15.01,-18.19
970,4.40,-7.98,7.37,4.70,-10.01,-12.02
980,4.74,-7.38,7.83,2.32,-6.59,-6.16
990,5.12,-6.80,8.12,3.05,-4.58,-1.04
