timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.86,5.83,10.75,44.86,57.13,43.88
10,1.22,5.39,10.29,38.88,68.79,29.79
20,1.77,5.82,10.05,30.58,73.85,15.75
30,1.94,5.23,8.96,25.33,66.10,0.67
40,2.01,4.98,8.38,20.75,61.89,-4.39
50,2.28,4.94,7.96,17.15,57.07,-10.80
60,2.51,4.88,7.79,14.34,54.44,-15.44
70,2.56,4.67,7.71,11.96,53.16,-18.68
80,2.55,4.60,7.61,1.95,51.76,-22.16
90,2.41,4.74,7.19,-4.33,50.54,-23.19
100,2.22,4.82,6.87,-9.58,48.10,-25.21
110,2.06,4.91,6.58,-13.18,45.41,-28.81
120,1.98,4.90,6.34,-15.32,42.48,-33.45
130,1.76,4.85,6.22,-17.64,35.03,-45.72
140,1.69,4.62,5.99,-18.07,31.43,-51.64
150,1.64,4.38,6.01,-16.91,27.89,-58.65
160,1.68,4.00,5.99,-13.79,24.66,-67.44
170,1.78,3.50,5.98,-9.58,21.12,-76.90
180,3.12,3.23,4.78,-6.04,17.52,-85.94
190,1.86,1.55,6.75,-0.18,7.63,-94.06
200,2.32,0.88,6.16,-6.96,8.00,-99.61
210,2.69,1.06,6.08,-12.45,3.72,-103.27
220,3.13,0.66,6.02,-16.85,1.10,-101.93
230,3.34,0.26,5.81,-19.29,-2.87,-98.14
240,3.35,-0.15,5.58,-20.32,-10.25,-91.00
250,3.50,-0.30,5.54,-18.62,-13.98,-87.10
260,3.60,-0.33,5.51,-16.30,-17.46,-83.44
270,3.64,-0.30,5.55,-14.04,-20.63,-79.10
280,3.62,-0.28,5.64,-12.02,-24.35,-74.34
290,3.57,-0.26,5.72,-11.23,-33.02,-65.61
300,3.42,0.00,5.39,-12.82,-37.48,-62.44
310,3.28,0.07,5.19,-13.18,-42.05,-60.18
320,3.14,0.06,5.18,-11.96,-47.73,-59.20
330,3.02,-0.31,4.87,-8.91,-54.26,-59.88
340,2.89,-0.49,4.93,-3.30,-65.37,-65.37
350,2.73,-1.44,5.20,9.22,-69.64,-68.91
360,2.75,-1.83,5.52,15.50,-72.45,-71.59
370,2.88,-2.08,5.85,19.47,-74.77,-71.35
380,3.03,-2.49,6.29,20.69,-77.09,-66.59
390,2.86,-2.87,6.76,18.01,-80.57,-60.36
400,2.72,-2.90,7.26,5.31,-89.36,-51.33
410,2.58,-3.25,7.44,-1.89,-94.73,-46.75
420,2.44,-3.49,7.58,-10.31,-99.91,-44.80
430,2.40,-3.83,7.58,-17.09,-105.35,-44.68
440,2.34,-4.38,7.58,-18.98,-110.84,-45.29
450,2.15,-4.97,7.65,-6.65,-118.77,-49.07
460,1.71,-6.21,8.16,8.12,-119.32,-51.09
470,1.58,-7.01,9.29,27.40,-118.65,-50.23
480,1.66,-7.76,10.92,47.67,-117.19,-43.82
490,1.81,-8.26,12.97,60.18,-116.03,-29.36
500,1.91,-9.14,14.66,36.80,-116.70,10.62
510,1.56,-8.53,16.87,8.67,-112.73,30.76
520,1.54,-7.64,17.35,-16.30,-110.96,47.12
530,1.25,-6.23,17.21,-38.64,-112.06,60.18
540,0.77,-5.04,16.42,-55.91,-113.89,74.40
550,0.28,-4.06,15.85,-66.96,-109.80,94.12
560,-0.40,-2.19,15.70,-67.93,-89.42,98.14
570,-0.48,-1.30,15.50,-58.11,-79.83,99.49
580,-0.42,-0.10,15.36,-43.76,-69.09,99.79
590,-0.40,0.85,15.52,-25.09,-57.31,102.29
600,-0.63,1.39,15.78,-5.43,-46.81,107.60
610,-1.37,2.40,16.60,21.42,-25.33,112.79
620,-1.46,2.79,17.25,26.31,-13.79,109.74
630,-1.68,3.22,17.46,26.00,-5.98,102.78
640,-1.75,3.79,17.54,20.08,2.08,91.98
650,-1.90,4.15,17.54,13.06,11.29,79.90
660,-1.97,4.42,17.39,0.85,28.75,55.85
670,-1.90,4.82,16.43,-1.59,38.21,43.33
680,-1.67,5.01,15.76,-0.73,48.52,31.31
690,-1.37,5.05,15.01,1.89,59.57,21.06
700,-1.07,5.00,14.26,4.82,70.68,13.12
710,-0.91,4.90,13.63,9.70,87.22,2.01
720,-0.55,4.50,12.67,24.78,92.65,-1.53
730,-0.39,4.31,12.30,31.56,98.14,-5.25
740,-0.23,4.12,12.09,36.62,103.45,-9.40
750,-0.03,3.94,11.93,38.57,107.30,-13.85
760,0.06,3.91,11.48,36.13,110.17,-17.52
770,0.42,3.78,10.75,26.25,121.95,-23.19
780,0.51,3.63,10.18,23.62,125.67,-26.98
790,0.50,3.47,9.63,23.07,127.50,-32.10
800,0.58,3.19,9.11,23.62,127.87,-37.48
810,0.72,3.00,8.72,23.93,125.79,-42.24
820,0.98,2.50,8.06,22.34,117.19,-51.57
830,1.39,2.38,7.66,20.51,114.07,-56.76
840,1.51,2.12,7.25,18.07,112.73,-61.34
850,1.47,1.75,6.84,14.95,111.39,-64.70
860,1.54,1.46,6.47,12.82,109.31,-67.75
870,1.62,1.26,6.26,11.29,103.94,-73.36
880,1.64,0.66,6.18,8.67,101.99,-74.40
890,1.59,0.30,6.05,1.83,99.85,-75.38
900,1.55,0.04,5.67,-7.32,96.19,-76.78
910,1.64,-0.11,5.25,-14.59,90.94,-78.92
920,1.66,-0.37,4.86,-18.07,68.79,-82.09
930,1.77,-1.01,4.35,-14.59,70.01,-83.25
940,1.83,-1.41,4.13,-7.93,64.03,-84.84
950,1.85,-1.97,4.09,0.61,59.33,-86.12
960,1.94,-2.66,4.22,10.07,54.87,-86.12
970,2.24,-2.86,4.59,18.01,50.23,-85.08
980,2.56,-4.53,5.00,25.02,38.70,-73.30
990,2.69,-4.61,5.62,21.00,36.25,-68.79
