timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.35,7.75,7.21,12.63,-6.71,25.21
10,3.37,6.72,5.97,23.62,5.68,18.37
20,5.14,6.90,6.88,40.41,15.44,4.21
30,4.84,5.67,6.64,46.14,7.51,6.29
40,5.04,5.25,6.67,46.51,1.89,6.16
50,5.45,5.15,6.44,47.91,-3.91,4.03
60,5.50,4.86,6.72,50.54,-5.92,2.69
70,5.63,4.15,7.35,49.26,1.04,-0.12
80,6.11,2.57,8.19,41.69,9.03,0.55
90,6.11,2.08,8.25,31.68,14.22,4.39
100,6.00,1.89,8.13,21.55,15.26,8.30
110,5.84,1.82,7.88,13.98,14.22,9.64
120,5.92,1.83,7.71,9.95,10.50,2.75
130,5.85,3.17,9.41,7.32,6.23,0.43
140,6.06,1.31,7.00,7.93,1.53,0.55
150,6.52,1.70,7.65,6.71,6.10,-3.23
160,6.76,2.89,6.82,0.92,11.54,-7.93
170,6.15,1.81,6.66,2.50,3.78,-14.40
180,6.83,1.93,8.40,1.10,-14.28,-14.65
190,6.34,2.39,8.09,-7.75,-18.01,-9.64
200,5.84,2.45,7.78,-13.92,-11.35,-7.81
210,5.64,2.24,7.47,-15.38,0.55,-9.16
220,5.67,2.19,7.00,-16.85,10.74,-11.72
230,5.92,2.29,6.83,-10.38,8.85,-15.08
240,6.32,2.35,7.04,-3.23,1.83,-12.94
250,6.12,2.17,7.13,2.20,-1.71,-9.95
260,6.11,1.98,7.33,5.31,-2.08,-7.51
270,6.14,1.84,7.42,5.37,-2.38,-5.43
280,6.11,1.84,7.43,0.98,-3.23,-4.09
290,6.04,1.86,7.37,-1.04,-4.27,-4.52
300,6.01,1.86,7.38,-2.26,-4.70,-5.80
310,6.00,1.91,7.41,-3.11,-4.52,-7.20
320,5.99,1.88,7.40,-4.21,-3.97,-8.36
330,6.02,1.84,7.35,-4.52,-3.05,-10.86
340,6.09,1.84,7.17,-2.20,-1.04,-11.35
350,6.12,1.84,7.07,-0.06,0.92,-11.41
360,6.20,1.87,7.04,2.75,2.75,-10.93
370,6.22,1.90,7.01,4.21,3.85,-10.31
380,6.19,1.96,6.95,5.19,3.66,-9.77
390,6.21,2.15,7.02,4.33,1.59,-8.30
400,5.99,2.33,7.08,2.14,0.49,-7.20
410,5.74,2.64,7.10,-0.43,-0.12,-6.59
420,5.37,3.07,7.05,-4.21,-0.06,-6.04
430,4.90,3.55,6.85,-6.90,1.34,-5.98
440,4.37,4.12,6.52,-7.93,6.10,-8.97
450,3.09,5.40,5.45,-6.53,8.54,-12.21
460,2.23,6.06,4.57,-2.69,11.47,-17.21
470,1.53,6.62,3.58,4.76,13.73,-24.90
480,0.91,6.93,2.64,14.65,13.98,-35.10
490,0.40,7.11,1.71,24.90,-1.40,-63.05
500,-0.13,7.19,0.17,49.38,-16.30,-80.63
510,0.01,6.85,0.46,59.88,-38.02,-97.90
520,-0.17,6.03,0.65,59.94,-63.90,-114.69
530,-0.46,5.15,0.71,48.22,-89.84,-130.86
540,-0.74,4.19,0.38,31.13,-111.57,-146.48
550,0.28,1.81,0.04,8.12,-144.71,-174.13
560,0.46,-0.44,0.66,2.93,-159.85,-178.34
570,0.45,-2.68,1.51,-0.85,-174.80,-173.46
580,0.74,-4.36,2.30,-2.32,-185.24,-162.23
590,1.20,-5.90,3.40,1.46,-189.15,-147.64
600,1.79,-7.65,6.84,16.85,-189.76,-121.40
610,3.00,-11.67,8.72,19.84,-190.25,-109.19
620,3.76,-13.56,10.67,18.55,-184.88,-95.34
630,5.45,-15.41,13.49,13.55,-168.82,-77.94
640,7.09,-16.64,16.10,3.60,-153.44,-53.41
650,8.20,-16.69,18.43,-35.28,-138.00,21.00
660,8.76,-14.93,22.38,-48.40,-129.21,57.68
670,8.57,-13.45,24.25,-54.50,-116.82,86.61
680,8.47,-11.64,26.14,-54.93,-105.04,109.99
690,6.45,-8.64,26.72,-52.92,-104.98,130.25
700,4.69,-4.60,27.99,-43.33,-61.71,158.57
710,2.75,1.21,29.62,28.87,1.22,162.05
720,2.18,3.08,30.33,68.05,49.68,160.22
730,1.59,4.41,30.56,94.36,91.74,154.24
740,1.15,5.26,30.23,100.40,128.42,142.76
750,0.84,5.92,28.82,85.21,156.56,124.57
760,0.95,6.55,23.32,21.97,190.31,67.38
770,1.27,6.53,19.70,-4.27,194.76,35.64
780,1.53,6.51,16.41,-19.41,196.66,10.38
790,1.90,6.45,13.59,-20.75,195.13,-7.93
800,1.95,6.30,11.05,-10.68,187.32,-20.57
810,2.28,6.07,9.79,15.99,193.42,-24.90
820,1.01,5.35,7.76,23.38,201.17,-22.83
830,0.15,5.30,6.69,20.39,205.93,-23.86
840,-0.51,5.41,5.19,9.64,203.67,-31.19
