timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.40,8.19,5.25,-13.55,5.55,-6.77
10,1.57,7.83,4.38,-12.82,2.93,-3.66
20,1.62,7.38,5.07,-9.16,0.37,0.18
30,1.43,8.03,4.82,-3.42,-10.25,-1.65
40,1.60,7.80,3.99,23.62,-19.78,-18.01
50,1.29,7.31,3.20,30.33,-18.80,-32.35
60,1.22,7.01,2.48,26.49,-13.85,-46.45
70,1.32,6.58,1.75,15.69,-7.87,-61.10
80,0.92,6.29,1.13,-0.49,-4.76,-77.70
90,0.69,5.86,1.19,-42.24,-7.81,-102.54
100,0.31,5.81,1.88,-54.32,-12.15,-112.12
110,0.01,5.24,2.24,-52.00,-18.55,-119.87
120,-0.46,4.50,2.05,-39.25,-27.77,-124.02
130,-0.81,3.65,1.59,-22.09,-39.37,-124.21
140,-1.09,3.22,1.52,16.66,-67.87,-118.65
150,-0.81,1.59,1.19,28.63,-81.67,-117.98
160,-1.21,0.95,1.44,42.79,-88.50,-111.63
170,-0.66,-1.02,1.29,59.45,-106.81,-105.41
180,-0.37,-2.37,1.53,62.50,-123.23,-103.09
190,0.15,-4.39,1.88,60.24,-153.44,-104.86
200,0.70,-8.92,1.96,36.01,-160.40,-105.10
210,0.06,-10.61,3.03,11.05,-169.49,-101.75
220,-0.91,-11.91,4.78,-12.39,-178.16,-91.49
230,-1.74,-12.84,6.99,-26.79,-184.63,-72.75
240,-2.35,-13.24,9.70,-28.87,-191.28,-44.56
250,-2.75,-12.98,13.41,-2.99,-209.96,32.10
260,-2.51,-11.93,15.61,9.34,-217.83,72.14
270,-1.79,-10.51,17.96,19.84,-223.33,106.51
280,-1.31,-9.15,20.19,29.36,-222.41,131.41
290,-0.82,-7.64,22.62,34.42,-213.99,146.67
300,-0.33,-6.03,27.25,27.53,-178.16,156.01
310,0.25,-3.05,28.80,19.17,-148.01,151.18
320,0.22,-1.37,29.98,9.52,-114.07,144.65
330,0.36,0.54,30.89,0.98,-82.09,140.69
340,0.38,2.69,31.27,-6.04,-52.92,139.47
350,0.37,5.12,31.61,-18.31,5.25,139.83
360,0.87,9.84,31.53,-18.25,34.24,137.15
370,1.15,11.94,31.00,-13.06,62.19,128.97
380,1.03,13.47,29.64,-5.98,89.36,116.33
390,1.04,14.06,27.31,1.46,115.66,97.41
400,1.02,13.74,24.59,4.21,139.22,41.50
410,0.06,12.56,19.95,-5.43,181.95,12.82
420,-0.47,11.76,17.49,-12.88,198.73,-11.47
430,-0.90,10.73,14.63,-18.86,210.94,-31.92
440,-1.12,9.64,12.34,-25.33,212.28,-50.42
450,-1.36,8.52,10.65,-32.29,202.70,-67.75
460,-1.57,7.22,8.53,-35.71,187.19,-90.82
470,-1.89,6.82,7.39,-28.69,185.18,-96.25
480,-2.02,6.51,6.11,-19.41,179.20,-100.34
490,-2.02,6.25,4.74,-11.78,169.68,-103.09
500,-1.82,5.95,3.49,-8.30,159.79,-105.65
510,-1.63,5.65,2.29,-11.54,140.32,-113.89
520,-1.02,5.20,-0.09,-16.17,129.76,-117.31
530,-0.37,5.24,-1.18,-21.36,118.23,-117.31
540,0.31,5.56,-1.61,-24.17,103.52,-115.05
550,0.98,5.81,-1.61,-19.90,87.28,-114.38
560,1.37,5.29,-1.79,-4.58,50.48,-122.86
570,1.52,2.79,-2.26,32.23,31.86,-127.56
580,1.83,1.11,-1.96,43.09,13.98,-129.88
590,2.15,-0.87,-1.38,48.83,-2.20,-131.35
600,2.23,-3.80,-1.41,49.13,-15.08,-133.61
610,2.02,-6.55,-0.66,40.71,-22.52,-137.70
620,0.00,-11.24,3.27,3.05,-31.56,-133.24
630,-0.92,-12.94,5.90,-12.15,-36.93,-118.10
640,-0.18,-13.65,8.73,-18.13,-40.89,-95.58
650,-2.33,-13.62,9.63,-14.83,-44.92,-70.31
660,-2.42,-12.55,10.69,-8.48,-40.22,-44.01
670,-1.17,-11.25,10.78,-0.18,-22.77,16.05
680,1.47,-7.98,10.38,0.61,-16.36,32.23
690,2.59,-6.65,9.69,1.28,-10.01,38.70
700,3.29,-5.51,8.57,0.12,-4.82,39.55
710,3.94,-4.37,7.86,-6.16,-1.95,39.73
720,4.52,-3.18,7.69,-17.40,-2.87,39.12
730,5.14,-0.82,7.95,-19.23,-4.76,38.45
740,5.38,0.28,8.17,-18.62,-5.74,37.35
750,5.54,1.32,8.16,-16.54,-6.47,35.58
760,5.73,2.08,8.36,-15.14,-7.32,32.59
770,5.78,2.65,8.79,-13.67,-8.36,23.25
780,5.68,2.96,9.15,-3.54,-8.12,17.76
790,5.39,2.83,9.10,1.28,-6.71,12.21
800,5.14,2.58,9.18,4.52,-5.74,7.32
810,4.93,2.20,9.20,5.92,-6.10,3.85
820,4.71,1.84,9.31,5.86,-6.10,1.04
830,4.49,1.16,9.48,4.94,-4.27,-2.26
840,4.13,0.80,9.56,4.64,-3.17,-3.66
850,3.93,0.51,9.47,4.94,-1.34,-5.49
860,3.84,0.18,9.25,4.15,1.04,-6.35
870,3.74,-0.02,9.18,2.81,2.20,-6.84
880,3.70,-0.15,9.25,1.65,2.14,-6.90
890,3.75,-0.44,8.95,1.95,2.87,-6.59
900,3.76,-0.53,8.82,1.77,3.72,-6.16
910,3.82,-0.53,8.87,0.37,3.72,-5.19
920,3.87,-0.53,8.88,0.24,3.11,-3.85
930,3.91,-0.55,8.79,0.43,4.27,-1.59
940,4.08,-0.41,8.47,-0.92,4.46,-0.18
950,4.20,-0.24,8.65,-2.38,2.75,1.34
960,4.33,-0.13,8.83,-3.05,1.16,2.62
970,4.41,-0.09,8.80,-2.75,1.65,3.42
980,4.44,-0.05,8.63,-2.56,3.85,3.42
990,4.51,0.08,8.22,-4.94,6.65,2.44
