timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.66,-2.23,10.98,-44.37,-21.06,81.12
10,4.24,-1.35,10.48,-48.95,-9.16,93.69
20,4.64,-0.65,10.45,-46.63,0.06,104.37
30,5.15,1.76,9.50,-33.75,3.05,99.61
40,5.67,2.31,9.29,-23.44,-0.37,87.46
50,5.79,2.74,9.24,-13.12,-3.60,71.35
60,5.85,2.90,9.15,-3.23,-3.72,52.80
70,5.69,2.92,8.77,5.00,0.85,33.26
80,5.24,2.84,8.36,9.52,16.54,-2.26
90,4.24,2.37,7.24,7.08,23.38,-13.79
100,3.91,2.25,6.89,3.72,27.71,-21.73
110,3.72,2.21,6.60,3.91,29.72,-27.04
120,3.51,2.16,6.22,6.47,27.83,-31.49
130,3.30,2.03,5.95,11.17,23.86,-39.73
140,3.14,2.09,5.56,23.56,14.22,-45.72
150,2.86,2.18,5.33,28.87,11.23,-53.53
160,2.90,1.44,5.76,34.24,9.40,-64.88
170,3.19,1.45,4.80,34.06,7.08,-77.15
180,2.37,1.19,4.88,29.05,9.64,-87.40
190,1.92,0.19,4.41,22.58,12.27,-111.39
200,1.55,-0.17,4.36,15.56,12.94,-119.51
210,1.24,-0.39,4.51,8.30,14.16,-125.43
220,1.15,-0.62,4.64,3.36,13.55,-129.33
230,0.97,-0.95,4.63,1.77,11.41,-132.87
240,0.85,-1.21,4.58,4.15,8.30,-141.05
250,0.68,-2.02,4.35,7.39,8.61,-145.51
260,0.59,-2.61,3.97,11.90,8.12,-150.27
270,0.48,-3.27,3.58,16.60,6.96,-154.91
280,0.47,-3.94,3.18,20.51,4.58,-158.57
290,0.50,-4.74,2.77,41.02,-4.27,-167.11
300,0.24,-6.74,1.56,37.29,-9.40,-172.97
310,0.00,-8.07,0.78,41.87,-15.20,-178.59
320,-0.37,-9.74,-0.10,44.01,-21.12,-181.95
330,-0.83,-11.37,-0.82,41.99,-26.86,-181.52
340,-1.18,-12.75,-1.14,36.56,-33.63,-160.95
350,-1.44,-15.73,-1.40,26.31,-52.67,-159.06
360,-1.75,-16.94,-1.49,19.96,-62.68,-149.29
370,-2.15,-17.82,-1.22,12.21,-72.02,-138.18
380,-2.55,-18.41,-0.69,5.43,-82.21,-126.40
390,-2.79,-18.77,-0.03,1.65,-93.44,-112.49
400,-2.93,-18.60,1.48,2.93,-115.11,-83.01
410,-2.99,-18.34,2.24,5.00,-125.18,-68.30
420,-2.83,-17.81,3.28,3.36,-136.23,-52.31
430,-2.34,-17.09,4.75,-2.08,-147.03,-34.61
440,-1.37,-16.26,6.41,-7.87,-155.21,-16.66
450,-0.40,-15.53,8.07,-10.01,-165.47,7.75
460,0.81,-14.43,11.03,-7.75,-168.70,13.31
470,1.20,-14.30,12.34,-4.58,-167.48,16.48
480,1.32,-14.20,13.88,-3.60,-163.45,18.68
490,1.36,-14.21,15.44,-4.88,-157.65,22.03
500,1.41,-14.29,17.12,-7.39,-136.84,35.03
510,0.98,-13.94,20.57,-14.65,-125.49,44.43
520,0.83,-13.77,21.93,-16.72,-110.29,55.85
530,0.76,-13.68,22.74,-17.33,-89.29,67.69
540,0.47,-13.30,23.45,-17.88,-63.60,78.43
550,-0.24,-12.36,23.07,-19.90,-37.66,88.32
560,-0.99,-10.73,22.15,-21.48,21.79,102.91
570,-1.15,-10.00,20.97,-22.71,49.19,106.87
580,-1.27,-9.40,19.41,-24.35,74.89,109.31
590,-1.38,-8.76,17.82,-28.38,97.41,110.72
600,-1.46,-8.10,16.39,-32.47,117.25,111.27
610,-1.53,-7.42,13.86,-36.99,145.94,109.50
620,-1.50,-6.07,12.69,-36.32,156.37,106.26
630,-1.38,-5.48,11.55,-33.81,164.37,101.44
640,-1.34,-4.98,10.32,-30.21,169.86,94.97
650,-1.29,-4.56,9.29,-26.98,172.67,88.26
660,-1.19,-4.03,8.58,-21.73,169.68,76.42
670,-1.05,-2.87,8.18,-16.91,164.31,72.63
680,-0.89,-2.51,7.90,-9.95,159.79,69.52
690,-0.66,-2.18,7.46,-4.33,157.41,65.49
700,-0.44,-1.79,7.13,-1.77,156.86,60.61
710,-0.22,-1.40,6.68,-1.53,157.29,51.94
720,0.62,-0.81,5.21,-7.63,159.73,46.75
730,1.14,-0.48,4.89,-14.47,159.18,38.88
740,1.43,-0.23,4.47,-17.82,158.26,28.32
750,1.47,-0.09,3.39,-16.97,158.08,16.97
760,1.56,0.01,2.23,-18.07,156.19,7.26
770,2.11,-0.24,0.90,-25.09,145.32,-10.74
780,2.18,-0.63,-0.10,-22.34,140.32,-21.18
790,2.19,-1.29,-1.70,-15.87,135.62,-31.80
800,2.24,-2.16,-3.54,-10.56,128.66,-41.08
810,2.45,-3.23,-5.08,-10.07,117.49,-48.89
820,2.64,-4.49,-6.24,-17.76,84.05,-63.42
830,2.33,-6.72,-6.60,-22.28,64.76,-67.38
840,2.08,-7.70,-6.13,-25.39,44.98,-65.67
850,2.02,-8.38,-5.21,-26.31,24.90,-59.69
860,2.07,-8.71,-4.15,-24.41,5.37,-51.27
870,2.09,-8.88,-3.00,-20.81,-28.69,-32.04
880,2.41,-8.66,0.18,-14.10,-41.20,-23.80
890,2.68,-8.39,1.76,-8.85,-47.97,-18.07
900,2.97,-8.29,3.02,-2.56,-48.22,-15.50
910,3.20,-8.42,3.86,3.17,-43.33,-15.87
920,3.37,-8.55,4.50,5.37,-34.97,-17.15
930,3.67,-8.63,5.83,3.85,-19.47,-16.05
940,3.88,-8.57,6.12,5.19,-13.67,-12.39
950,4.04,-8.35,5.89,6.53,-9.58,-7.08
960,4.38,-8.09,5.68,4.70,-7.45,-1.16
970,4.76,-7.80,5.94,0.61,-6.84,3.54
980,5.03,-7.19,6.04,2.56,-5.86,9.52
990,5.30,-7.13,5.82,5.49,-5.92,11.78
