timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.86,4.60,8.17,31.13,29.36,6.65
10,2.15,4.16,7.20,34.18,36.32,-8.79
20,2.43,4.74,7.51,34.73,39.06,-24.78
30,2.97,4.24,7.84,37.60,40.34,-37.41
40,3.19,3.79,8.21,26.18,37.78,-48.28
50,3.04,3.07,8.06,15.63,33.69,-48.77
60,2.60,3.01,7.78,7.14,30.21,-49.74
70,2.29,2.93,7.44,3.05,30.82,-53.47
80,2.10,2.87,6.83,2.99,34.12,-59.88
90,1.96,2.75,6.14,11.96,35.10,-73.49
100,2.05,1.76,5.02,16.66,33.26,-78.00
110,2.06,1.26,5.06,15.81,29.48,-79.71
120,2.05,0.89,5.12,7.63,23.01,-79.83
130,1.97,0.58,5.10,-7.39,15.50,-78.43
140,1.81,0.41,4.70,-27.22,8.73,-76.54
150,1.60,0.80,3.38,-66.89,-6.47,-76.97
160,1.56,1.26,2.62,-79.90,-17.64,-77.33
170,1.23,1.45,2.04,-85.82,-30.64,-77.33
180,1.13,0.84,1.23,-83.86,-45.84,-78.25
190,0.25,1.58,1.68,-78.43,-59.45,-79.10
200,-0.11,1.98,1.59,-65.31,-70.07,-87.65
210,-0.76,1.89,1.73,-56.52,-75.13,-90.88
220,-1.03,1.85,1.96,-45.35,-82.15,-96.37
230,-1.80,1.08,1.83,-24.66,-93.87,-106.81
240,-2.63,-0.85,2.75,-2.44,-103.09,-117.43
250,-2.40,-2.46,4.24,-7.75,-103.76,-138.24
260,-1.22,-4.02,5.22,-14.04,-112.30,-145.45
270,-0.89,-5.27,6.25,-19.53,-121.46,-147.16
280,-0.56,-6.72,7.30,-27.47,-131.47,-144.17
290,-0.37,-8.06,8.07,-37.96,-141.97,-137.57
300,-0.29,-9.67,8.64,-43.40,-160.10,-124.33
310,0.49,-13.87,10.83,-30.94,-162.17,-114.32
320,0.87,-15.88,12.43,-21.67,-159.91,-98.69
330,1.75,-17.64,15.99,-14.28,-155.52,-77.45
340,1.59,-20.48,18.18,-6.41,-163.57,-51.15
350,0.11,-20.25,17.77,-11.35,-180.54,-28.26
360,0.21,-17.92,18.70,-39.61,-132.93,27.83
370,0.57,-17.06,20.80,-42.85,-94.30,58.96
380,0.32,-15.29,21.96,-46.39,-74.71,84.47
390,-0.51,-13.28,22.09,-51.33,-70.92,106.75
400,-1.17,-10.63,22.47,-59.63,-65.61,126.34
410,-1.52,-7.85,24.29,-65.06,-39.49,155.88
420,-2.79,-2.10,24.36,-57.86,-26.00,164.25
430,-3.31,0.65,24.28,-40.04,-9.52,165.95
440,-3.64,2.80,24.24,-10.01,10.56,160.77
450,-3.56,4.22,24.36,23.13,34.18,149.17
460,-3.34,5.02,24.49,64.33,76.48,109.68
470,-2.61,5.70,24.41,53.34,92.59,85.94
480,-2.55,5.76,22.75,24.66,104.98,59.39
490,-2.00,5.87,20.43,-9.46,116.58,31.13
500,-1.27,6.04,18.06,-35.34,128.05,4.09
510,-0.72,5.87,15.88,-45.90,151.79,-31.19
520,0.05,5.26,12.47,-37.17,145.51,-40.65
530,0.31,5.03,11.09,-27.04,151.12,-46.20
540,0.38,4.66,9.77,-16.17,157.84,-48.77
550,0.47,4.31,8.46,-4.21,164.12,-50.90
560,0.65,3.91,7.53,9.09,166.93,-53.10
570,0.73,3.01,6.09,31.98,165.16,-56.76
580,0.71,2.57,5.39,34.85,164.12,-58.65
590,0.51,2.20,4.55,30.94,160.22,-62.19
600,0.43,1.86,3.65,22.34,151.67,-67.93
610,0.41,1.41,2.60,12.57,139.16,-75.74
620,0.39,1.04,1.61,-2.20,114.99,-96.62
630,0.44,-0.23,0.18,-3.30,101.62,-106.02
640,0.59,-0.95,-0.16,-2.26,87.52,-113.59
650,0.75,-1.74,-0.45,-1.22,74.65,-117.98
660,0.94,-2.42,-0.35,0.00,63.23,-119.08
670,1.01,-3.33,-0.43,4.27,38.64,-110.47
680,0.82,-4.87,0.20,10.44,28.87,-103.09
690,0.73,-5.43,0.89,15.56,18.68,-94.12
700,0.62,-5.94,1.83,22.89,9.22,-83.31
710,0.53,-6.48,2.90,27.65,2.62,-71.41
720,0.51,-6.76,4.01,28.20,-1.89,-58.96
730,1.08,-6.75,5.98,18.13,-5.25,-38.02
740,1.41,-6.57,6.76,10.86,-5.43,-29.42
750,1.61,-6.31,7.38,1.71,-4.94,-21.36
760,1.69,-5.97,7.75,-7.26,-4.52,-14.40
770,1.83,-5.52,8.04,-13.67,-4.88,-9.77
780,1.96,-4.75,8.30,-16.42,-6.96,-6.16
790,2.33,-4.48,8.42,-13.79,-7.57,-6.16
800,2.69,-4.28,8.57,-10.01,-8.30,-7.57
810,3.09,-4.19,8.78,-5.13,-8.42,-9.83
820,3.48,-4.17,9.09,-0.37,-8.85,-11.41
830,3.67,-4.11,9.48,-1.04,-9.16,-9.09
840,3.67,-4.16,9.99,-5.19,-8.61,-7.32
850,3.63,-4.03,9.99,-10.86,-7.26,-5.55
860,3.48,-3.83,9.92,-15.44,-5.86,-4.27
870,3.37,-3.76,9.84,-16.91,-4.58,-3.72
880,3.34,-3.66,9.85,-17.64,-3.48,-5.37
890,3.63,-3.38,9.75,-17.70,-3.54,-6.23
900,3.77,-3.25,9.67,-17.27,-2.26,-6.84
910,3.77,-3.11,9.57,-16.72,-0.67,-6.71
920,3.70,-3.00,9.47,-14.89,0.18,-6.10
930,3.61,-2.88,9.33,-12.33,1.10,-5.00
940,3.40,-2.65,9.03,-4.88,2.93,-3.48
950,3.36,-2.57,8.93,-0.37,4.09,-3.11
960,3.36,-2.55,8.89,2.93,4.33,-3.05
970,3.38,-2.55,8.89,4.70,4.03,-3.30
980,3.40,-2.58,8.87,4.27,3.97,-3.97
990,3.42,-2.60,8.75,1.22,3.91,-6.23
