timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.60,8.76,6.87,49.26,22.40,65.00
10,2.15,8.51,6.41,55.42,25.27,59.02
20,2.04,9.26,7.31,53.89,29.30,32.35
30,1.80,9.34,7.55,46.26,34.91,17.15
40,1.86,9.40,7.49,38.70,35.95,0.61
50,2.12,9.36,7.32,33.33,33.45,-13.85
60,2.34,9.22,7.01,28.69,29.97,-23.99
70,2.49,8.97,6.71,23.13,25.51,-36.68
80,2.72,8.53,6.20,19.84,27.40,-41.02
90,2.75,8.28,5.94,17.27,30.40,-45.04
100,2.83,7.95,5.63,16.91,32.78,-49.07
110,2.94,7.53,5.22,17.94,31.86,-52.61
120,2.97,7.11,5.07,19.47,28.50,-58.17
130,2.96,6.42,5.15,18.19,17.27,-60.73
140,2.90,6.15,5.18,15.26,10.38,-63.84
150,2.79,5.93,5.13,10.99,3.30,-67.87
160,2.72,5.77,4.95,5.68,-2.81,-72.75
170,2.69,5.78,4.63,-1.22,-8.54,-77.15
180,2.49,5.63,4.36,-13.12,-23.74,-79.96
190,2.25,5.32,3.96,-16.72,-26.55,-81.67
200,2.11,5.24,3.75,-17.76,-31.31,-83.98
210,2.06,4.96,3.81,-14.22,-34.24,-87.83
220,1.88,4.46,3.69,-9.46,-37.29,-91.86
230,1.77,3.90,3.62,3.11,-39.25,-100.28
240,1.64,2.79,3.60,8.42,-39.67,-103.70
250,1.79,2.16,3.73,13.00,-41.63,-106.75
260,1.94,1.51,3.77,15.69,-45.23,-108.34
270,1.94,0.87,3.72,15.81,-51.03,-107.97
280,2.07,0.24,3.82,9.03,-69.15,-101.62
290,2.23,-0.81,4.12,2.81,-80.87,-95.76
300,2.28,-1.40,4.29,-2.44,-92.65,-88.93
310,2.37,-1.81,4.44,-6.71,-102.97,-81.73
320,2.39,-2.25,4.82,-8.00,-111.82,-74.34
330,2.36,-2.94,5.29,-3.54,-118.90,-61.46
340,2.53,-3.70,6.03,9.46,-121.89,-55.36
350,2.88,-4.10,6.46,10.86,-118.77,-44.74
360,2.65,-4.62,6.79,6.23,-116.33,-30.82
370,2.42,-4.27,7.02,-3.91,-114.93,-19.17
380,2.43,-3.58,7.28,-18.13,-116.82,-6.59
390,1.64,-3.35,7.83,-39.98,-132.81,18.37
400,1.55,-3.21,8.46,-46.45,-142.33,25.45
410,1.67,-2.83,9.41,-50.78,-150.21,30.27
420,1.78,-2.29,10.54,-53.77,-155.27,35.58
430,1.87,-1.73,11.71,-57.07,-158.57,43.52
440,1.73,-1.16,12.98,-62.07,-157.53,59.63
450,1.42,0.29,15.42,-59.51,-151.06,64.27
460,1.08,0.93,17.28,-50.42,-141.66,66.89
470,0.88,0.77,19.57,-36.68,-133.97,69.89
480,0.19,1.47,20.44,-24.17,-127.81,73.73
490,-0.02,2.16,21.26,-18.31,-73.36,84.53
500,0.29,3.78,23.81,-0.92,-51.88,87.46
510,0.15,5.04,23.42,2.26,-39.31,90.70
520,0.01,6.29,23.05,3.85,-25.76,91.13
530,-0.45,7.27,22.33,6.84,-13.49,87.16
540,-0.71,7.97,21.75,9.95,-0.98,78.98
550,-0.97,9.14,20.95,14.89,24.05,48.40
560,-0.86,9.25,20.28,15.38,33.81,30.76
570,-0.76,9.06,19.44,13.61,42.97,12.57
580,-0.60,8.76,18.36,10.38,51.70,-5.49
590,-0.32,8.40,17.03,7.39,58.35,-21.55
600,0.08,8.15,14.46,9.46,66.53,-45.10
610,0.83,7.65,13.57,14.04,70.92,-52.73
