timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,4.00,9.33,6.80,-11.29,-3.54,68.24
10,3.63,10.09,6.39,-13.92,-2.50,75.01
20,4.94,11.75,6.67,-9.34,3.30,75.81
30,4.54,12.75,6.37,3.54,1.65,63.11
40,4.37,13.13,6.08,16.85,-0.98,45.59
50,4.13,13.18,5.84,25.57,-2.32,23.32
60,4.07,12.81,5.63,28.56,2.20,-2.50
70,3.54,12.19,5.27,19.35,11.11,-56.15
80,2.26,9.99,4.34,8.24,12.15,-76.60
90,1.66,8.93,4.01,-6.53,12.76,-91.19
100,1.16,8.27,4.12,-20.14,13.31,-100.77
110,0.96,7.67,4.27,-25.76,11.11,-106.69
120,0.60,7.08,4.06,-21.42,-0.55,-114.07
130,-0.01,5.43,2.87,-1.16,-6.84,-115.23
140,1.30,6.10,1.17,7.57,-14.22,-114.20
150,-0.05,3.48,1.64,15.99,-27.65,-114.81
160,-0.09,3.38,0.93,20.32,-33.87,-114.26
170,0.32,1.64,0.86,26.86,-41.14,-115.17
180,0.38,-0.80,-0.66,43.64,-60.73,-122.19
190,0.14,-2.28,-0.92,49.19,-76.11,-124.57
200,-0.02,-3.90,-0.07,51.09,-98.27,-126.89
210,-0.43,-5.71,1.17,55.54,-122.25,-127.56
220,-1.01,-7.87,2.43,65.37,-142.09,-127.75
230,-1.32,-10.67,3.70,88.87,-169.86,-118.53
240,-2.04,-16.13,4.20,89.17,-181.95,-104.74
250,-2.27,-18.22,5.52,80.02,-193.73,-81.67
260,-2.60,-19.40,7.87,68.05,-205.08,-50.60
270,-2.86,-19.63,10.81,57.37,-215.27,-13.61
280,-3.09,-18.87,13.85,53.22,-221.31,71.78
290,-2.94,-14.89,20.16,58.84,-218.57,111.76
300,-2.35,-12.05,23.55,70.50,-213.44,143.92
310,-1.54,-9.41,26.12,85.75,-200.99,167.18
320,-0.83,-6.78,28.12,96.13,-178.96,180.66
330,0.08,-4.38,29.61,99.67,-151.00,181.88
340,1.66,-0.56,31.25,86.91,-90.09,171.75
350,1.78,0.87,31.66,69.21,-59.14,156.80
360,1.44,2.33,32.24,45.04,-25.21,139.65
370,1.81,4.08,32.77,20.45,10.93,124.33
380,0.60,5.48,32.06,0.79,45.65,112.49
390,0.28,8.52,29.42,-25.88,106.63,89.78
400,0.18,9.22,27.34,-30.76,130.49,79.83
410,-0.18,9.99,25.00,-33.39,151.55,65.12
420,-0.30,10.48,21.81,-33.51,174.93,48.71
430,0.40,10.18,18.94,-32.59,192.32,33.33
440,0.84,9.46,16.30,-32.29,198.12,-8.00
450,0.58,7.70,11.63,-32.04,200.81,-30.64
460,0.23,6.61,9.51,-31.80,202.09,-51.15
470,0.05,5.51,7.54,-33.33,200.68,-68.85
