timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,4.51,1.70,11.77,-29.36,-7.63,83.80
10,4.46,3.05,11.03,-34.18,0.79,83.37
20,4.82,2.90,10.96,-35.40,13.06,64.15
30,5.00,4.12,10.07,-32.10,22.28,44.68
40,4.62,4.21,9.69,-24.23,28.87,22.09
50,4.19,3.85,9.15,-14.59,32.65,0.43
60,3.74,3.57,8.84,-7.26,36.32,-17.94
70,3.29,3.19,8.39,-2.26,40.10,-44.98
80,2.49,2.55,7.29,-1.04,48.46,-54.20
90,2.23,2.59,7.22,-1.83,51.51,-61.58
100,2.02,2.54,7.08,1.10,52.67,-68.48
110,1.71,2.31,6.61,7.93,51.70,-75.26
120,1.52,2.01,5.88,14.10,49.93,-80.99
130,1.38,1.37,4.71,14.28,42.54,-88.44
140,1.50,0.99,4.43,11.17,37.11,-91.49
150,1.09,2.39,2.91,9.95,30.88,-94.48
160,1.83,0.18,4.75,15.20,24.29,-99.98
170,1.39,1.18,4.13,14.28,21.18,-102.23
180,1.50,0.93,4.11,21.42,17.70,-123.35
190,1.16,0.20,3.10,20.51,18.98,-133.97
200,1.02,-0.33,2.59,18.25,21.61,-144.90
210,0.87,-0.86,2.15,15.87,21.24,-156.07
220,0.87,-1.46,1.71,13.73,18.31,-166.63
230,0.68,-2.17,1.35,12.82,8.42,-188.05
240,0.68,-4.27,0.59,15.75,1.53,-197.08
250,0.65,-5.62,0.05,17.33,-5.43,-204.16
260,0.31,-6.95,-0.27,16.91,-13.49,-209.23
270,-0.21,-8.03,0.02,16.05,-22.71,-211.67
280,-0.81,-9.13,0.47,19.53,-34.61,-213.38
290,-2.06,-11.30,1.04,37.72,-62.81,-212.28
300,-2.53,-12.62,1.40,46.14,-72.94,-208.50
310,-2.97,-13.98,1.59,50.78,-81.18,-203.31
320,-3.06,-15.39,1.76,49.93,-87.40,-194.58
330,-2.79,-16.91,2.12,44.74,-90.94,-182.68
340,-2.53,-19.58,2.68,37.11,-98.02,-157.47
350,-2.52,-20.64,3.07,34.30,-104.74,-143.98
360,-2.89,-21.25,3.68,31.13,-113.40,-128.23
370,-3.16,-21.63,4.45,27.47,-123.60,-109.13
380,-3.11,-21.79,5.25,22.16,-133.06,-86.36
390,-2.90,-21.62,6.00,6.35,-141.91,-36.62
400,-2.26,-20.12,8.16,-2.93,-141.24,-12.33
410,-1.75,-19.17,9.39,-12.15,-141.48,10.74
420,-1.14,-18.22,10.90,-20.32,-142.58,32.96
430,-0.55,-17.14,12.73,-26.31,-142.33,52.86
440,-0.13,-15.99,14.78,-28.75,-133.06,82.15
450,0.16,-13.86,18.51,-21.73,-123.54,91.61
460,0.10,-13.20,19.48,-13.73,-109.92,97.66
470,0.11,-12.81,19.79,-7.02,-93.20,101.56
480,-0.88,-12.57,20.00,-5.13,-72.63,104.68
490,-1.50,-11.98,20.23,-9.22,-49.19,108.28
500,-2.22,-11.26,19.77,-17.70,-2.38,121.70
510,-2.59,-10.66,19.21,-20.81,20.02,129.03
520,-2.80,-9.91,18.30,-22.03,40.59,137.39
530,-2.83,-9.21,16.99,-22.03,58.17,145.51
540,-2.76,-8.43,15.61,-22.83,74.34,152.71
550,-2.59,-7.34,13.24,-24.78,103.82,158.26
560,-1.97,-5.19,12.33,-22.89,116.52,156.49
570,-1.51,-4.22,11.28,-20.26,126.10,152.34
580,-0.94,-3.31,10.30,-18.98,134.28,146.00
590,-0.29,-2.44,9.48,-19.84,141.11,137.45
600,0.10,-1.67,8.77,-25.63,150.02,112.98
610,0.76,-0.66,8.05,-29.17,153.81,100.16
620,0.92,-0.32,7.85,-30.52,156.25,88.20
630,1.13,-0.05,7.56,-29.42,157.04,77.58
640,1.33,0.11,7.27,-26.61,157.47,68.66
650,1.61,0.21,6.89,-21.18,155.94,52.06
660,2.02,0.25,5.27,-7.57,148.19,43.09
670,2.23,0.13,4.28,-4.03,145.08,33.94
680,2.54,-0.10,3.06,-3.05,143.13,25.15
690,2.81,-0.24,1.84,-6.29,142.09,16.17
700,3.10,-0.36,0.69,-12.57,139.95,6.35
710,3.23,-0.79,-0.95,-30.21,130.19,-15.63
720,3.24,-1.19,-1.50,-36.25,122.07,-27.16
730,3.04,-1.87,-2.14,-37.66,111.33,-37.66
740,2.94,-2.71,-2.57,-37.11,96.92,-45.78
750,2.86,-3.66,-2.91,-34.67,80.26,-50.90
760,2.74,-4.63,-3.13,-27.28,44.62,-53.16
770,2.48,-6.66,-3.22,-25.82,27.83,-50.23
780,2.44,-7.45,-2.61,-26.43,12.70,-45.35
790,2.43,-7.86,-1.66,-26.49,-1.16,-40.47
800,2.53,-8.14,-0.38,-23.01,-13.31,-36.25
810,2.71,-8.38,0.80,-17.03,-28.08,-32.04
820,3.19,-8.44,3.07,-6.59,-27.16,-31.01
830,3.52,-8.41,3.87,-4.39,-21.30,-29.91
840,3.77,-8.32,4.54,-4.64,-12.15,-29.05
850,3.93,-8.16,5.11,-5.68,-3.42,-27.89
860,4.13,-7.92,5.67,-5.37,2.14,-24.72
870,4.64,-7.52,6.03,5.07,3.42,-14.53
880,4.84,-7.36,5.83,11.41,0.61,-9.58
890,5.01,-7.24,5.63,14.53,-1.46,-5.86
900,5.16,-7.09,5.52,13.85,-2.32,-2.81
910,5.32,-6.90,5.57,11.54,-1.77,-0.43
920,5.36,-6.72,5.46,9.46,-0.12,1.65
930,5.42,-6.49,5.39,7.75,0.06,2.87
940,5.54,-6.35,5.44,5.31,0.49,4.03
950,5.66,-6.20,5.51,3.42,0.43,4.39
960,5.66,-6.14,5.48,2.87,-0.31,3.91
970,5.67,-6.13,5.42,1.59,-1.04,2.20
980,5.61,-6.24,5.52,1.22,-0.67,1.34
990,5.50,-6.33,5.55,2.62,-0.67,-0.06
