timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,4.58,10.60,6.99,-118.16,6.35,121.64
10,3.65,12.27,5.72,-109.13,-0.79,101.99
20,4.36,12.06,5.71,-74.77,-4.15,64.94
30,3.63,12.99,4.87,-72.27,-2.01,48.52
40,3.65,13.56,5.13,-69.15,7.08,35.58
50,3.58,14.03,5.17,-60.12,13.49,22.77
60,3.40,14.26,5.07,-45.17,16.97,8.67
70,3.14,14.23,4.71,-11.54,20.94,-16.78
80,2.75,13.58,3.38,4.94,22.16,-29.24
90,2.46,13.19,2.91,14.71,20.87,-41.93
100,2.35,12.69,2.67,20.14,16.78,-54.26
110,2.23,12.02,2.54,23.19,11.72,-67.44
120,2.01,11.19,2.40,23.99,7.81,-97.84
130,1.15,9.23,1.73,15.87,1.16,-110.78
140,0.68,8.23,1.36,7.81,-2.56,-121.03
150,0.42,7.30,1.12,-3.23,-7.75,-126.83
160,0.20,6.43,0.79,-15.63,-14.95,-128.85
170,-0.93,4.80,1.10,-26.25,-27.53,-130.37
180,-0.03,4.45,1.20,-44.07,-44.49,-122.56
190,-0.36,3.76,1.09,-47.85,-56.15,-115.05
200,-0.51,3.03,1.26,-48.65,-69.34,-107.67
210,-0.43,2.33,1.53,-48.52,-79.96,-98.75
220,-0.38,1.67,1.80,-46.75,-91.49,-89.05
230,-0.30,1.07,2.00,-41.81,-110.60,-67.93
240,-0.11,0.21,2.52,-40.77,-119.14,-57.25
250,-0.06,-0.18,2.74,-41.32,-126.71,-47.18
260,-0.02,-0.56,3.03,-43.70,-132.69,-37.90
270,0.05,-0.97,3.53,-48.16,-138.73,-28.75
280,0.12,-1.27,4.33,-54.69,-149.54,-11.29
290,-0.03,-1.76,6.30,-60.67,-153.50,-2.26
300,-0.31,-1.95,7.37,-59.81,-157.35,9.03
310,-0.60,-2.11,8.44,-57.50,-160.46,22.77
320,-1.01,-2.18,9.37,-54.32,-161.93,38.51
330,-1.47,-1.91,10.27,-51.64,-161.25,55.85
340,-1.64,-0.70,12.45,-44.68,-157.17,93.75
350,-1.43,0.08,13.65,-36.62,-155.15,111.76
360,-1.09,0.73,14.66,-25.57,-152.59,127.87
370,-0.74,1.36,15.45,-13.43,-147.95,141.97
380,-0.35,1.98,15.94,-4.33,-139.65,152.65
390,-0.12,2.57,16.08,-4.58,-113.59,168.03
400,-0.13,4.46,16.33,-14.16,-97.41,173.77
410,-0.14,5.99,16.75,-26.18,-81.79,178.41
420,-0.23,7.63,17.24,-36.19,-67.20,181.64
430,-0.21,9.65,17.94,-42.11,-53.89,181.88
440,0.01,11.65,18.44,-38.33,-27.47,172.79
450,0.25,15.09,18.31,-31.56,-10.99,161.38
460,0.32,16.86,18.02,-23.99,6.10,146.06
470,0.44,18.13,17.65,-15.32,23.93,128.36
480,0.26,18.83,16.89,-5.19,40.65,107.60
490,0.03,19.12,15.92,3.17,56.15,57.92
500,-0.77,19.13,13.97,13.73,86.00,33.14
510,-1.06,18.94,13.07,17.09,98.21,10.68
520,-1.29,18.54,12.16,21.48,106.93,-8.61
530,-1.50,18.01,11.31,25.63,112.43,-26.43
540,-1.60,17.34,10.53,28.63,115.23,-42.85
550,-1.53,15.64,9.47,28.99,117.31,-75.68
560,-0.85,14.69,8.95,26.37,120.48,-94.36
570,-0.82,13.74,8.43,26.12,123.84,-114.44
580,-1.05,12.77,7.69,28.81,123.54,-133.91
590,-1.19,11.81,6.90,30.09,120.00,-150.57
600,-1.15,10.92,6.15,22.89,117.74,-175.11
610,-1.25,9.61,4.91,17.40,117.80,-183.59
620,-1.33,9.04,4.38,12.39,115.60,-188.78
630,-1.39,8.61,3.95,8.61,110.72,-190.80
640,-1.27,8.23,3.70,5.07,103.15,-189.21
650,-1.17,7.88,3.58,4.27,85.51,-179.14
660,-1.01,7.02,3.51,9.89,76.60,-170.29
670,-0.62,6.48,3.61,15.14,68.05,-160.52
680,-0.08,5.91,3.76,23.44,60.73,-152.10
690,0.35,5.23,3.76,33.69,54.44,-145.75
700,0.74,4.39,3.58,45.53,48.28,-141.42
710,1.28,2.49,2.47,62.68,36.32,-134.83
720,1.55,1.28,1.49,62.07,30.03,-130.07
730,1.82,0.01,0.77,50.96,22.03,-124.57
740,2.08,-1.21,0.57,28.75,12.51,-118.41
750,2.27,-2.26,0.93,1.34,2.75,-110.84
760,2.37,-2.89,3.46,-43.15,-16.42,-90.58
770,2.57,-3.48,5.18,-51.76,-26.12,-78.55
780,2.84,-3.34,6.76,-50.17,-32.23,-66.22
790,3.17,-3.30,7.76,-39.73,-31.92,-53.65
800,3.31,-3.23,8.32,-23.86,-27.47,-42.54
810,3.33,-3.02,8.48,5.43,-17.09,-22.40
820,3.53,-2.12,8.35,17.03,-11.72,-12.08
830,3.53,-1.63,8.03,25.76,-8.24,-2.62
840,3.56,-1.00,7.78,29.05,-6.53,7.32
850,3.67,-0.21,7.56,27.83,-5.86,17.21
860,3.97,0.71,7.45,23.62,-6.16,30.21
870,4.77,2.61,7.82,10.99,-9.22,30.82
880,5.12,3.34,8.02,6.29,-10.38,27.10
890,5.33,3.85,8.13,2.81,-9.16,20.57
900,5.47,4.19,8.17,0.31,-6.65,12.63
910,5.38,4.34,8.09,-1.10,-3.85,4.21
920,4.93,4.22,7.85,-1.28,0.12,-6.77
930,4.92,4.10,7.67,-1.16,1.65,-8.36
940,4.91,4.04,7.52,-2.08,3.48,-7.69
950,4.90,4.09,7.46,-3.60,5.19,-5.13
960,4.90,4.11,7.40,-4.33,5.55,-1.95
970,4.99,4.18,7.41,-2.20,2.44,3.85
980,5.25,4.38,7.42,0.43,0.98,5.37
990,5.41,4.45,7.48,3.30,-0.06,5.07
