timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.53,11.39,1.76,123.29,11.90,117.86
10,1.19,12.84,2.17,95.95,-1.77,112.85
20,1.50,13.57,3.45,65.86,-1.04,106.93
30,1.74,16.07,4.53,23.07,25.02,78.74
40,1.92,16.72,4.35,16.72,30.76,60.49
50,1.81,17.04,3.90,13.43,28.81,40.47
60,1.77,17.19,3.60,8.00,25.94,22.28
70,1.81,17.29,3.73,0.12,23.86,5.98
80,1.76,17.36,4.54,-5.74,23.80,-24.35
90,1.41,16.80,4.80,1.89,23.38,-39.86
100,1.19,16.00,4.90,14.47,21.48,-54.32
110,0.88,14.94,4.86,29.42,18.74,-66.53
120,0.57,13.74,4.61,44.43,14.59,-75.81
130,0.42,12.61,4.42,65.86,1.28,-85.88
140,0.33,10.61,4.07,68.60,-9.77,-90.82
150,0.37,9.75,4.02,74.95,-8.24,-94.18
160,0.80,8.77,3.90,75.93,-11.29,-98.63
170,0.56,8.01,3.78,73.24,-16.91,-104.68
180,0.48,7.32,3.79,70.25,-21.42,-116.15
190,0.29,6.11,3.54,59.39,-28.08,-120.97
200,0.25,5.63,3.36,52.98,-30.64,-125.73
210,0.14,5.10,3.22,46.51,-35.52,-130.92
220,0.01,4.55,3.11,39.61,-41.26,-135.99
230,-0.06,4.04,3.05,32.47,-46.33,-140.62
240,-0.17,3.29,2.68,21.48,-56.70,-146.18
250,0.14,2.74,2.59,19.04,-66.83,-147.83
260,0.38,2.08,2.65,16.66,-78.98,-149.23
270,0.57,1.47,2.88,13.61,-89.72,-149.66
280,0.65,0.96,3.17,10.86,-97.60,-149.54
290,0.70,0.46,3.54,10.01,-108.28,-146.55
300,0.47,-0.72,4.10,12.33,-114.99,-144.41
310,0.38,-1.48,4.36,14.71,-122.50,-140.99
320,0.24,-2.50,4.89,16.91,-129.52,-136.17
330,0.31,-3.77,5.69,20.08,-135.56,-131.35
340,0.58,-5.33,6.62,24.23,-148.01,-118.04
350,0.90,-8.38,8.19,34.61,-153.32,-108.28
360,0.59,-9.59,8.90,37.90,-157.84,-96.25
370,0.10,-10.55,9.55,37.72,-161.44,-80.93
380,-0.31,-11.20,10.17,31.98,-163.45,-61.40
390,-0.65,-11.46,11.01,19.65,-162.17,-6.41
400,-0.83,-10.69,13.93,-4.82,-151.06,14.83
410,-0.80,-9.94,15.24,-7.14,-145.51,40.28
420,-0.90,-9.10,16.37,-2.87,-140.50,63.96
430,-0.87,-8.06,17.45,4.27,-133.85,85.08
440,-0.91,-6.98,18.36,12.08,-124.08,104.00
450,-0.83,-4.42,19.68,24.41,-95.76,130.98
460,-0.48,-2.90,20.14,27.16,-79.28,138.00
470,-0.19,-1.50,20.35,26.18,-62.93,141.36
480,-0.10,-0.04,20.44,23.13,-46.63,140.62
490,0.00,1.39,20.63,17.33,-32.71,138.92
500,0.31,2.64,20.97,11.29,-9.40,134.09
510,0.98,4.33,21.04,12.82,4.15,128.91
520,0.87,5.10,20.87,13.92,20.20,122.44
530,0.49,6.00,20.73,14.40,36.80,116.76
540,0.24,7.07,20.68,15.44,53.04,113.34
550,0.17,7.99,20.55,20.26,83.92,107.06
560,-0.04,9.07,19.13,42.85,93.20,101.32
570,-0.17,9.30,18.01,51.03,102.23,94.42
580,-0.26,9.33,16.87,52.37,110.11,86.85
590,-0.25,9.51,15.87,46.69,118.84,77.58
600,0.01,9.64,15.03,36.56,127.14,65.67
610,0.14,9.18,14.04,22.22,142.88,31.37
620,-0.14,8.68,13.42,24.41,149.90,13.73
630,-0.51,8.10,12.69,33.39,154.97,0.18
640,-0.71,7.75,11.99,46.14,157.23,-8.18
650,-0.42,7.48,11.09,60.79,158.20,-14.40
660,-0.13,7.04,8.34,88.75,157.96,-31.19
670,0.03,6.07,7.19,94.24,156.43,-42.05
680,0.01,5.30,6.05,93.75,155.03,-52.73
690,0.00,4.82,4.80,87.46,153.50,-62.99
700,0.00,4.29,3.50,75.32,150.51,-71.66
710,0.07,3.69,2.75,44.49,131.16,-85.51
720,0.44,2.84,2.29,33.75,118.96,-90.88
730,0.46,2.43,2.00,25.39,108.03,-94.30
740,0.41,2.11,1.61,17.46,98.63,-94.97
750,0.46,1.75,1.12,9.64,89.36,-92.35
760,0.60,1.41,0.97,3.30,77.94,-82.82
770,1.08,0.63,1.28,-0.06,47.06,-77.76
780,1.54,-0.02,1.42,1.95,30.82,-71.29
790,1.90,-0.73,1.53,4.94,15.38,-64.51
800,2.31,-1.47,1.83,6.35,1.04,-58.35
810,2.84,-2.24,2.37,5.55,-11.47,-52.92
820,3.49,-3.56,4.04,-1.77,-29.05,-47.91
830,4.61,-4.04,5.15,-6.96,-31.19,-49.38
840,4.88,-4.65,6.22,-9.03,-29.97,-52.98
850,4.84,-5.24,7.07,-8.79,-27.95,-57.43
860,4.62,-5.74,7.95,-7.63,-26.55,-59.20
870,4.29,-6.08,8.78,-1.40,-26.49,-51.45
880,3.50,-6.26,10.56,3.17,-26.49,-42.11
890,3.36,-5.88,11.53,10.25,-25.94,-29.48
900,3.52,-5.43,11.99,20.26,-24.17,-15.87
910,3.72,-4.97,11.96,31.01,-20.63,-3.66
920,3.92,-4.38,11.60,38.70,-9.95,11.78
930,4.39,-3.37,10.20,41.38,-4.46,14.47
940,4.57,-2.97,9.53,36.07,0.31,14.10
950,4.66,-2.63,8.95,26.06,4.88,11.84
960,4.73,-2.23,8.59,13.55,9.64,8.42
970,4.77,-1.85,8.41,1.83,14.16,4.52
980,4.65,-1.30,8.26,-9.46,19.23,-2.50
990,4.58,-1.18,7.98,-8.30,19.47,-3.72
