timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.36,-3.76,12.99,16.72,-19.47,-41.26
10,-0.30,-4.63,12.91,20.81,-13.92,-38.15
20,0.20,-3.42,15.29,25.76,-9.28,-49.13
30,-0.23,-3.87,16.09,26.67,1.53,-53.83
40,-0.02,-4.12,17.10,24.29,14.59,-58.47
50,0.14,-4.33,18.19,16.54,26.31,-60.06
60,0.14,-4.30,18.75,3.23,36.19,-57.56
70,0.01,-4.20,18.75,-29.54,57.13,-49.62
80,-0.24,-3.88,18.05,-45.47,66.96,-47.61
90,-0.31,-3.90,17.76,-59.63,75.20,-46.69
100,-0.17,-4.02,17.39,-74.34,83.68,-45.53
110,-0.31,-4.08,16.82,-90.15,92.83,-42.91
120,-0.37,-4.07,16.30,-106.75,101.20,-33.87
130,-0.20,-4.38,15.71,-150.57,109.92,-31.62
140,0.11,-4.48,15.13,-178.59,109.07,-29.72
150,0.36,-4.46,13.94,-204.65,110.05,-26.92
160,0.09,-4.67,12.70,-220.76,110.60,-19.35
170,-0.17,-4.65,11.70,-227.29,129.09,-4.03
180,0.53,-2.84,8.50,-222.72,172.12,34.24
190,0.39,-3.08,8.09,-211.24,188.29,53.59
200,0.01,-2.04,7.15,-199.58,190.37,66.96
210,0.24,-1.73,6.23,-183.84,183.47,83.37
220,0.08,-1.26,5.76,-173.46,183.84,100.04
230,0.07,-0.91,5.87,-159.06,189.76,118.04
240,-0.24,0.11,4.60,-150.45,190.00,119.81
250,-0.20,0.67,3.84,-139.77,187.68,117.74
260,-0.03,1.18,3.26,-124.51,182.37,110.72
270,0.11,1.39,3.16,-103.76,172.85,101.20
280,0.24,1.48,3.15,-79.65,146.67,84.78
290,0.47,1.62,3.13,-38.70,136.96,76.48
300,0.68,1.53,2.91,-22.52,129.88,68.85
310,0.75,1.32,2.44,-9.03,126.22,61.83
320,1.00,1.17,1.92,2.32,124.63,55.79
330,1.53,1.09,1.42,12.02,120.42,52.25
