timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-3.05,-3.98,9.06,-31.01,-5.92,-60.55
10,-3.81,-3.29,9.23,-50.72,-17.70,-37.78
20,-0.48,-5.79,8.30,-55.30,-27.34,-33.20
30,-1.35,-5.32,8.91,-48.52,-31.80,-39.55
40,-2.51,-5.72,9.05,-27.95,-32.90,-42.60
50,-3.08,-6.74,8.55,-9.16,-36.13,-38.57
60,-3.34,-7.87,8.23,-1.16,-37.72,-29.11
70,-3.50,-8.93,9.12,-9.16,-23.07,-25.15
80,-3.59,-9.15,9.58,-13.24,-12.76,-22.52
90,-3.36,-9.19,10.19,-14.71,-4.88,-19.90
100,-3.01,-9.30,10.97,-12.88,-0.24,-16.66
110,-2.53,-9.56,11.39,-7.39,1.65,-12.39
120,-1.65,-9.63,12.02,3.66,5.49,3.05
130,-0.89,-9.56,12.52,6.65,6.71,14.59
140,-0.31,-9.43,12.88,10.07,8.12,25.39
150,-0.03,-9.13,13.31,11.78,10.80,33.69
160,0.04,-8.87,13.63,10.38,16.24,38.57
170,-0.02,-7.83,14.70,3.78,32.04,42.36
180,-0.35,-7.58,16.54,0.06,46.45,46.08
190,-0.20,-7.98,16.49,8.12,63.96,43.70
200,-0.48,-8.05,16.34,15.20,79.47,44.80
210,-1.24,-8.40,16.06,16.78,88.93,49.74
220,-1.51,-8.37,16.03,20.81,109.68,59.69
230,-2.31,-8.28,14.10,34.30,118.53,66.71
240,-2.66,-8.17,12.45,33.14,126.53,73.36
250,-2.61,-8.06,11.68,21.61,133.24,79.04
260,-2.45,-7.93,11.48,7.45,138.12,82.03
270,-2.62,-7.67,11.32,-2.81,143.74,82.28
280,-3.24,-6.92,10.08,-6.77,159.24,82.95
290,-3.45,-6.63,9.06,-5.19,163.64,85.27
300,-3.63,-6.32,8.15,-4.94,164.86,88.07
310,-3.64,-5.95,7.39,-6.23,163.15,92.04
320,-3.49,-5.57,6.83,-7.63,159.79,97.17
330,-3.28,-4.71,5.46,-5.74,152.40,106.63
340,-3.12,-4.19,4.52,-3.91,148.44,109.99
350,-3.06,-3.85,3.73,-4.70,142.58,113.22
360,-2.95,-3.36,3.14,-8.00,134.70,114.75
370,-2.92,-2.86,2.47,-11.05,126.89,116.33
380,-2.89,-2.47,1.74,-16.42,110.53,120.67
390,-2.89,-1.68,0.07,-20.94,101.50,123.66
400,-2.66,-1.47,-0.60,-27.28,92.53,127.56
410,-2.48,-1.02,-0.83,-34.73,83.50,131.16
420,-2.38,-0.48,-0.94,-40.65,70.98,135.80
430,-2.16,0.15,-1.01,-42.72,33.81,145.14
440,-1.16,1.43,-1.24,-35.10,12.39,147.34
450,-0.86,1.79,-1.60,-27.28,-9.64,147.28
460,-0.73,2.18,-1.65,-20.20,-28.32,145.39
470,-0.59,2.72,-1.67,-17.64,-44.25,143.37
480,-0.45,3.27,-1.47,-18.19,-58.78,141.72
490,0.14,4.30,-0.85,-26.73,-82.89,134.40
500,0.38,4.78,-0.29,-30.15,-92.53,128.30
510,0.68,5.23,0.15,-31.86,-101.26,122.07
520,1.11,5.82,0.98,-32.41,-110.23,115.36
530,1.54,6.56,2.11,-31.80,-121.64,108.34
540,1.91,7.18,3.56,-20.26,-145.63,94.48
550,2.65,7.80,4.48,-14.16,-154.24,84.23
560,3.10,8.20,5.66,-10.01,-159.97,71.41
570,3.14,8.76,6.46,-7.26,-166.81,57.43
580,3.05,8.97,7.37,-3.97,-170.84,44.43
590,3.09,9.03,8.62,3.97,-175.90,16.11
600,2.62,8.98,11.34,7.02,-177.19,0.49
610,2.16,9.06,13.03,10.56,-174.44,-14.04
620,1.71,9.27,15.29,13.24,-172.49,-26.67
630,1.41,9.59,17.67,21.55,-173.22,-37.84
640,1.21,9.68,19.34,41.75,-169.62,-62.13
650,0.46,9.01,21.10,95.46,-144.17,-77.03
