timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.44,3.08,11.48,-20.02,-78.86,33.63
10,0.31,3.48,10.83,-3.23,-81.60,31.37
20,0.11,3.08,11.35,9.64,-83.07,24.72
30,-0.26,2.52,11.83,17.58,-79.59,17.46
40,-0.42,1.80,12.38,23.86,-73.12,8.00
50,-0.67,0.32,13.36,25.88,-54.44,3.05
60,-0.66,-0.06,13.94,21.97,-41.69,-0.55
70,-0.46,-0.10,14.83,14.47,-29.48,-2.69
80,-0.06,-0.24,15.86,9.40,-19.17,-5.07
90,0.34,-0.59,17.09,7.63,-9.64,-8.73
100,0.14,-1.67,18.17,15.38,13.18,-18.37
110,-0.25,-2.19,18.10,17.94,25.33,-19.04
120,-0.39,-2.65,18.22,16.05,36.80,-16.11
130,-0.46,-2.90,18.33,12.51,47.67,-11.35
140,-0.62,-3.00,18.18,10.01,58.17,-5.80
150,-1.28,-3.10,18.77,5.55,79.04,11.84
160,-0.15,-3.23,17.73,-0.24,84.84,19.35
170,-0.17,-2.91,17.37,-2.26,94.42,22.89
180,0.03,-2.70,16.73,-1.40,104.37,28.93
190,-0.05,-2.35,15.81,-3.85,112.85,33.33
200,-0.11,-1.93,15.16,-8.24,133.97,36.56
210,0.19,-1.16,13.43,-18.25,143.74,35.89
220,0.39,-0.89,12.38,-22.34,151.55,33.39
230,0.50,-0.57,11.72,-25.39,156.25,30.46
240,0.55,-0.31,11.28,-27.28,157.78,27.83
250,0.51,-0.03,10.80,-27.10,158.08,25.63
260,0.35,-0.03,9.49,-16.78,159.55,24.60
270,0.08,-0.09,8.90,-12.08,159.00,24.60
280,-0.27,-0.18,8.47,-6.41,158.69,24.84
290,-0.70,-0.34,8.01,0.67,158.39,25.76
300,-1.15,-0.59,7.44,8.36,158.75,27.53
310,-1.61,-1.33,5.51,21.06,162.11,35.89
320,-2.52,-1.65,4.54,23.68,164.61,42.48
330,-2.86,-1.49,2.84,24.48,164.31,50.78
340,-2.97,-1.28,1.19,23.50,158.08,60.97
350,-2.88,-1.26,0.28,17.82,140.32,72.27
360,-2.83,-1.04,-0.37,1.28,88.75,98.02
370,-2.52,-0.43,-0.47,-5.31,69.27,112.55
380,-2.34,0.21,-0.36,-10.01,54.63,126.10
