timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.48,3.51,6.06,-94.60,103.64,141.24
10,3.07,4.63,5.49,-92.10,100.22,141.60
20,5.86,5.65,5.17,-86.67,84.29,134.89
30,5.63,6.79,4.83,-78.31,68.66,120.61
40,5.83,7.63,5.13,-64.76,62.74,104.00
50,6.01,8.22,5.14,-46.39,56.52,87.04
60,6.00,8.70,5.07,-5.92,42.11,50.96
70,6.33,9.54,5.02,15.87,38.88,34.73
80,6.26,9.85,5.16,43.70,35.28,19.71
90,6.29,10.05,4.92,75.56,28.93,5.19
100,6.14,10.03,4.47,104.68,21.18,-7.93
110,5.88,9.87,3.87,126.34,4.27,-26.06
120,5.79,9.33,2.98,140.75,-3.66,-31.19
130,5.71,9.12,2.85,133.91,-10.86,-35.89
140,5.66,9.03,2.98,120.06,-15.63,-40.65
150,5.67,8.92,3.08,102.84,-17.64,-45.04
160,5.09,8.87,4.47,84.29,-21.30,-50.42
170,5.61,8.38,4.14,53.16,-17.58,-60.30
180,5.51,8.08,4.31,41.32,-16.66,-67.44
190,5.31,7.67,4.51,27.53,-16.85,-74.83
200,5.07,7.37,4.87,15.87,-17.46,-81.12
210,4.95,6.96,5.07,6.16,-19.23,-84.41
220,5.03,6.47,5.57,-7.87,-23.44,-87.71
230,5.02,6.15,6.02,-13.85,-25.02,-89.97
240,5.07,5.91,6.26,-18.49,-26.00,-93.38
250,5.09,5.74,6.53,-22.64,-26.79,-97.47
260,5.16,5.57,6.74,-26.92,-27.53,-102.97
270,5.15,5.22,6.82,-35.40,-28.20,-115.66
280,5.13,4.57,7.08,-41.26,-27.40,-120.24
290,5.11,4.29,7.25,-46.26,-26.49,-123.29
300,5.05,4.06,7.51,-49.74,-26.25,-125.85
310,5.07,3.73,7.74,-51.57,-26.98,-128.72
320,4.99,3.26,7.88,-51.88,-28.87,-134.16
330,4.92,2.49,8.29,-46.26,-35.40,-136.35
340,4.81,2.01,8.32,-37.84,-40.65,-138.49
350,4.70,1.33,8.28,-27.53,-46.26,-139.95
360,4.57,0.64,8.23,-16.60,-50.90,-140.20
370,4.50,0.03,8.22,-6.23,-55.18,-137.94
380,4.50,-1.14,8.20,11.11,-63.78,-126.95
390,4.41,-1.58,8.28,17.15,-67.44,-118.47
400,4.42,-2.06,8.53,20.39,-70.25,-109.50
410,4.30,-2.28,8.81,23.01,-69.70,-101.62
420,4.25,-2.65,8.97,25.02,-66.65,-94.36
430,4.24,-2.94,9.21,22.03,-55.30,-82.64
440,4.12,-3.69,9.64,21.48,-48.16,-78.55
450,3.91,-4.20,9.77,21.67,-41.44,-75.32
460,3.73,-4.78,9.82,22.83,-35.46,-72.33
470,3.52,-5.45,9.82,25.33,-31.13,-69.21
480,3.32,-6.06,9.88,28.44,-23.68,-57.98
490,2.70,-7.14,9.79,31.62,-20.20,-46.33
500,2.73,-7.43,9.80,29.11,-16.11,-30.88
510,2.64,-7.44,9.84,26.12,-11.23,-12.82
520,2.56,-7.36,9.83,24.29,-7.14,6.77
530,2.61,-7.00,9.86,22.28,-3.48,28.02
540,2.91,-5.80,9.72,22.77,4.70,68.79
550,3.04,-5.10,9.62,25.02,7.14,85.21
560,3.18,-4.42,9.56,27.65,8.36,98.21
570,3.28,-3.76,9.49,31.31,10.07,108.22
580,3.35,-3.14,9.36,34.85,12.15,116.09
590,3.50,-1.97,9.13,40.22,16.48,127.75
600,3.60,-1.64,9.05,42.79,17.88,131.84
610,3.60,-1.25,8.95,45.10,18.68,136.17
620,3.56,-0.94,8.88,47.49,18.68,141.30
630,3.47,-0.62,8.83,49.01,17.88,147.77
640,3.33,-0.18,8.77,51.21,16.60,166.14
650,3.17,0.49,9.16,52.55,14.95,177.67
660,3.22,1.03,9.22,53.59,12.76,188.48
670,3.21,1.31,8.93,54.99,12.15,196.35
680,3.11,1.58,8.88,53.10,18.49,202.51
690,2.69,1.89,8.78,44.86,27.71,216.55
700,2.21,3.79,9.27,20.87,41.14,226.07
710,2.83,4.78,9.20,15.69,46.39,234.13
720,3.40,5.46,8.87,15.93,51.27,235.53
730,4.02,6.37,8.76,17.21,56.88,228.88
740,4.48,7.20,8.65,21.73,61.34,214.36
750,4.60,8.01,8.03,40.53,60.73,170.90
760,4.64,7.94,7.64,49.74,56.58,148.38
770,4.53,7.76,7.30,56.03,50.17,128.42
780,4.40,7.54,6.95,57.80,42.72,111.51
790,4.19,7.52,6.75,54.26,36.38,97.96
800,4.04,7.65,6.60,32.59,31.07,81.73
810,4.04,8.34,6.47,18.19,31.31,76.48
820,4.16,9.01,6.50,4.70,32.65,71.41
830,4.24,9.84,6.56,-5.43,34.48,65.25
840,4.39,10.75,6.67,-10.19,36.87,57.62
850,4.63,11.61,6.20,-9.70,35.28,34.36
860,5.63,12.64,5.29,1.65,27.71,14.04
870,5.64,12.56,4.64,7.20,14.95,-10.38
880,5.44,12.30,4.20,6.90,0.12,-38.21
890,5.39,11.41,4.24,3.85,-11.72,-67.99
900,4.98,10.46,4.65,-1.65,-21.91,-124.63
910,3.95,8.54,5.32,-10.62,-33.75,-130.25
920,3.69,7.67,5.64,-14.28,-37.60,-141.24
930,3.55,6.93,5.93,-18.19,-41.93,-148.74
940,3.44,6.34,6.22,-21.36,-45.47,-154.17
950,3.44,5.88,6.44,-25.88,-47.79,-158.87
960,3.48,5.15,6.87,-37.05,-46.63,-169.43
970,3.41,4.67,7.04,-44.19,-45.47,-175.66
980,3.37,4.23,7.26,-50.66,-44.62,-182.13
990,3.25,3.74,7.52,-55.73,-45.29,-188.78
