timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.90,-2.04,5.98,-206.79,13.85,-30.70
10,3.54,-2.23,7.85,-186.40,3.97,-35.03
20,3.68,-2.16,8.72,-154.48,-11.90,-45.53
30,2.87,-2.77,9.19,-114.32,-27.04,-52.98
40,2.22,-3.86,8.98,-75.01,-34.18,-53.28
50,1.60,-4.59,8.70,-43.82,-36.07,-49.07
60,1.10,-5.16,8.11,-6.47,-26.92,-32.35
70,0.80,-5.57,7.61,-7.69,-24.11,-21.79
80,0.80,-5.40,7.92,-8.36,-21.00,-11.66
90,0.87,-5.07,8.50,-8.67,-18.01,-2.93
100,1.48,-4.78,9.37,-8.30,-18.13,2.50
110,2.01,-4.60,9.89,-5.31,-16.11,4.15
120,2.13,-4.27,10.93,5.07,-3.05,0.79
130,2.16,-4.40,10.72,13.73,-0.12,0.73
140,1.42,-5.21,11.60,23.74,2.08,-2.56
150,1.25,-4.54,9.84,27.28,7.69,0.67
160,1.11,-4.65,9.79,37.17,19.23,12.08
170,1.00,-4.34,8.11,54.20,36.50,35.64
180,0.91,-4.57,7.45,52.80,37.35,49.38
190,0.89,-4.29,6.59,47.79,33.33,62.99
200,1.23,-4.09,6.20,36.44,27.10,76.78
210,1.57,-3.75,6.35,22.34,19.65,89.23
220,1.55,-3.18,6.44,30.46,11.90,107.54
230,1.13,-3.33,5.45,40.53,11.05,113.83
240,0.69,-2.96,5.07,41.81,7.69,121.77
250,0.28,-2.63,4.77,41.99,2.69,131.96
260,0.00,-2.18,4.70,39.67,-2.99,143.74
270,-0.18,-1.50,4.91,36.38,-12.94,168.58
280,-0.60,0.80,4.92,39.98,-17.09,181.34
290,-0.71,1.89,4.48,45.90,-22.40,193.66
300,-0.64,3.05,4.26,48.65,-29.54,205.14
310,-0.39,4.36,4.58,47.79,-37.35,214.72
320,-0.13,5.44,4.97,49.87,-44.98,220.58
330,1.24,8.23,5.53,69.89,-57.68,211.06
340,1.13,8.72,5.56,79.35,-62.74,195.31
350,0.15,9.07,4.79,91.25,-70.86,180.30
360,-0.39,10.10,4.10,93.51,-83.19,172.06
370,-0.19,10.62,4.20,86.49,-92.47,170.23
380,0.14,11.01,5.63,71.59,-100.89,161.19
390,0.73,12.09,6.72,69.64,-102.97,149.78
400,0.96,12.68,7.61,73.55,-106.45,134.95
410,1.13,13.36,7.70,80.14,-112.98,119.38
420,1.24,13.82,7.46,84.72,-120.42,105.77
430,1.60,14.11,7.47,74.46,-127.38,81.79
440,2.37,15.38,9.26,62.26,-129.15,66.35
450,2.90,15.99,11.38,49.50,-135.38,50.42
460,2.33,16.68,10.74,39.55,-147.89,33.63
470,2.63,16.17,11.14,34.06,-147.89,15.81
480,3.07,15.32,11.50,23.74,-131.10,-34.73
490,3.36,14.55,13.00,-18.74,-96.68,-66.35
500,3.00,14.24,13.40,-40.83,-87.04,-94.73
510,2.85,13.57,14.44,-61.34,-76.72,-117.25
520,2.16,12.88,14.61,-78.86,-73.18,-134.46
530,1.94,11.73,15.32,-89.72,-66.35,-148.56
540,1.51,9.88,16.42,-100.40,-56.52,-168.52
