timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.42,-2.44,3.95,97.72,-61.95,-67.44
10,2.88,-2.68,2.09,91.49,-59.88,-55.79
20,2.82,-3.17,1.74,83.50,-65.98,-49.38
30,1.78,-2.86,1.66,68.91,-68.97,-48.40
40,1.57,-2.63,2.19,41.08,-62.93,-52.12
50,1.51,-2.57,2.40,30.09,-61.83,-52.31
60,1.49,-2.33,2.54,20.69,-60.12,-52.80
70,1.30,-1.86,3.00,11.66,-59.75,-55.66
80,1.03,-1.82,3.69,2.81,-61.58,-59.94
90,0.51,-2.11,4.62,-14.71,-56.27,-58.53
100,0.01,-2.07,4.90,-27.47,-51.09,-53.28
110,-0.14,-2.16,5.48,-40.83,-47.06,-50.17
120,-0.42,-1.83,6.26,-46.69,-47.12,-47.61
130,-0.72,-1.87,6.55,-43.95,-55.11,-39.86
140,-0.87,-1.67,7.01,-26.49,-77.15,-21.24
150,1.05,-1.66,7.68,-22.64,-84.90,-17.82
160,-0.39,-0.20,8.31,-26.31,-88.07,-17.09
170,0.66,-0.05,7.42,-38.64,-90.52,-18.25
180,1.42,-0.04,8.33,-46.88,-86.06,-26.61
190,1.23,-0.06,8.40,-60.12,-56.46,-76.90
200,0.33,-0.15,9.88,-81.54,-36.62,-102.97
210,-0.52,0.02,10.19,-83.31,-25.33,-118.29
220,-0.95,-0.12,10.24,-75.20,-21.06,-123.54
230,-0.93,-0.43,10.31,-68.12,-23.19,-120.36
240,-0.56,-0.74,10.88,-70.13,-29.54,-113.83
250,0.02,0.11,12.93,-81.67,-33.75,-109.80
260,-0.41,1.21,14.42,-78.67,-35.89,-112.37
270,-0.17,1.32,15.90,-59.45,-41.32,-116.33
280,1.46,0.48,16.38,-34.67,-47.49,-121.64
290,1.81,-0.66,16.21,-26.18,-53.53,-124.33
300,0.24,-0.45,18.24,-40.95,-39.00,-158.57
310,-0.93,0.98,19.25,-41.81,-19.10,-183.11
320,-2.07,0.82,18.75,-33.69,-3.11,-193.05
330,-1.69,-0.28,18.23,-28.93,14.71,-184.75
340,-1.57,-0.69,17.73,-32.71,29.54,-171.14
350,-1.07,-1.17,17.56,-47.06,47.85,-150.63
360,-0.20,-1.15,18.13,-44.92,56.40,-146.06
370,0.01,-1.33,18.22,-31.31,60.79,-144.10
380,0.31,-1.43,18.40,-11.23,60.42,-141.05
390,0.56,-1.93,18.76,10.50,58.78,-137.33
400,0.53,-2.31,19.02,29.72,57.56,-132.87
410,0.02,-3.77,18.36,49.13,65.61,-133.24
420,-0.13,-4.51,17.67,42.24,77.51,-135.99
430,-0.55,-5.24,16.82,24.48,93.81,-141.11
440,-0.76,-5.72,16.46,-0.85,113.59,-147.89
450,-1.08,-6.12,16.27,-25.70,137.15,-154.42
460,-0.98,-6.50,15.71,-55.79,181.46,-160.83
470,-1.37,-6.80,15.41,-61.34,194.09,-154.91
480,-1.76,-7.15,15.26,-58.72,198.24,-146.61
