timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.84,-1.63,8.61,-31.01,-56.64,19.71
10,-1.24,-0.30,9.64,-29.72,-59.08,39.00
20,1.44,-2.31,10.26,-7.69,-53.65,37.35
30,0.76,-1.88,10.35,0.98,-51.64,25.82
40,0.59,-2.30,10.85,11.35,-45.78,16.91
50,0.55,-3.11,11.36,17.33,-41.38,11.05
60,0.47,-3.93,12.07,20.51,-34.12,5.25
70,-0.14,-4.97,13.31,14.77,-12.39,-3.60
80,-0.45,-5.26,14.00,7.81,0.12,-4.03
90,-0.60,-5.30,14.85,-1.16,13.31,-2.44
100,-0.71,-4.98,15.78,-9.64,26.12,2.01
110,-0.64,-4.39,16.44,-14.16,37.66,8.97
120,-0.41,-3.89,16.94,-11.72,53.71,25.70
130,0.47,-2.07,18.11,-6.35,60.00,33.39
140,2.66,-3.09,17.45,2.08,64.76,38.39
150,1.86,-1.66,17.71,5.31,65.80,36.80
160,1.22,-1.64,17.21,17.82,81.97,32.53
170,1.57,-2.16,16.66,22.95,110.35,22.22
180,0.76,-2.90,15.32,21.36,126.10,15.20
190,0.24,-3.17,14.73,17.82,142.64,9.22
200,-0.29,-3.40,13.64,15.14,157.47,5.92
210,-0.70,-3.60,12.41,11.72,169.68,5.37
220,-0.95,-3.79,11.39,6.53,177.25,7.45
230,-0.75,-3.79,9.40,-3.48,180.97,17.94
240,-0.79,-3.83,8.29,-7.81,178.71,25.21
250,-0.70,-3.69,7.66,-11.72,173.71,31.43
260,-0.54,-3.42,7.37,-11.84,167.18,36.74
270,-0.55,-3.36,7.04,-8.54,158.81,42.48
280,-0.77,-3.37,6.04,3.30,141.30,52.31
290,-1.41,-3.23,5.40,8.00,134.28,58.23
300,-1.63,-3.18,4.74,10.93,128.36,65.80
310,-1.78,-3.09,4.09,12.33,123.54,73.79
320,-1.93,-3.00,3.53,12.63,119.75,82.21
330,-2.04,-2.88,2.98,10.62,109.80,101.26
340,-2.20,-2.48,1.18,8.06,102.11,113.95
350,-2.17,-2.10,0.22,2.87,90.76,128.11
360,-1.90,-1.58,-0.16,-4.46,73.36,143.07
370,-1.63,-1.03,-0.30,-10.74,49.68,157.41
380,-1.40,-0.49,-0.43,-13.43,24.29,179.63
390,-1.10,0.68,-1.03,-15.93,-23.80,187.93
400,-0.84,1.44,-0.80,-20.32,-49.93,194.64
410,-0.71,2.28,-0.40,-24.17,-76.23,199.95
420,-0.35,3.12,0.50,-24.72,-99.79,202.82
430,-0.08,4.23,1.66,-22.58,-120.73,202.09
440,0.86,6.11,3.09,-8.12,-144.71,192.50
450,1.36,6.89,3.45,-2.81,-150.33,183.17
460,1.58,7.78,3.72,-1.95,-154.60,170.65
470,1.95,8.40,4.28,-4.33,-156.31,156.68
480,2.46,9.44,4.76,-8.30,-155.46,140.93
490,2.82,10.16,5.44,-17.88,-152.40,106.57
500,3.57,12.09,7.43,-24.54,-153.38,88.44
510,4.09,12.92,8.97,-27.83,-153.75,68.79
520,4.56,13.61,10.70,-25.51,-153.14,45.53
530,4.49,13.99,12.48,-15.38,-151.37,19.90
540,3.87,13.97,13.54,16.30,-149.41,-27.34
550,2.35,12.39,15.00,32.71,-146.97,-47.06
560,1.36,11.48,15.67,41.63,-141.91,-63.78
570,0.58,10.55,16.23,46.08,-132.20,-75.93
580,0.12,9.59,16.59,47.79,-119.45,-83.01
590,-0.15,8.69,16.79,47.18,-106.81,-87.71
600,-0.14,7.71,18.22,39.31,-86.36,-94.97
610,0.03,7.27,18.88,37.41,-76.72,-100.10
620,0.15,6.81,19.40,38.82,-62.81,-108.46
630,0.03,6.31,19.26,41.81,-46.45,-119.08
640,-0.23,5.64,18.75,43.52,-28.81,-130.19
650,-0.53,4.33,18.16,34.79,3.23,-147.09
660,-0.92,3.87,18.26,28.26,18.49,-152.40
670,-1.00,3.41,18.29,24.17,34.24,-156.68
680,-1.12,2.78,18.01,23.62,50.35,-160.71
690,-1.31,2.12,17.49,24.96,66.28,-164.67
700,-1.55,1.55,16.91,26.18,99.30,-168.76
710,-1.73,0.91,15.98,27.65,114.81,-168.27
720,-1.69,0.53,15.39,31.56,128.60,-167.48
730,-1.72,0.01,14.68,37.84,142.33,-166.56
740,-1.78,-0.47,13.79,45.72,155.76,-165.47
750,-1.80,-1.00,12.66,54.69,182.98,-160.95
760,-2.00,-1.54,10.56,68.30,182.01,-156.01
