timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.71,1.81,8.09,36.68,67.69,11.60
10,0.80,1.74,7.06,44.62,87.28,14.28
20,1.43,1.72,6.01,49.44,96.25,6.71
30,1.91,1.52,4.12,56.52,83.86,-1.16
40,2.35,1.37,2.91,71.11,60.49,-0.31
50,2.72,2.07,3.13,145.57,6.65,17.82
60,1.93,2.55,3.85,190.31,-9.64,29.91
70,1.44,3.03,4.79,233.95,-15.08,33.81
80,1.27,3.27,5.85,274.41,-12.76,27.77
90,1.49,3.02,7.03,310.79,-0.31,15.93
100,1.51,2.46,8.43,343.93,28.75,1.28
110,1.65,1.96,8.95,339.60,33.69,-1.22
120,1.59,1.86,9.23,323.49,34.79,-3.36
130,1.85,1.89,9.21,300.11,35.83,-6.71
140,1.94,1.81,9.06,277.22,38.51,-11.72
150,2.44,2.16,8.70,243.77,36.38,-32.35
160,0.32,0.46,8.14,236.94,21.18,-46.57
170,0.73,0.29,8.68,213.01,23.38,-54.63
180,1.96,0.45,7.88,180.11,25.70,-68.36
190,1.77,0.07,7.36,156.25,23.07,-83.62
200,1.61,-0.42,7.17,138.37,22.95,-99.00
210,1.94,-1.67,6.87,112.18,21.42,-106.32
220,1.95,-2.42,6.81,101.44,19.41,-112.06
230,2.10,-3.01,6.73,89.48,16.17,-115.54
240,2.37,-3.40,6.62,76.84,12.15,-116.09
250,2.60,-3.94,6.50,66.22,7.87,-114.32
260,2.45,-5.26,6.48,53.28,8.54,-105.41
270,2.12,-6.07,6.46,49.93,12.15,-101.38
280,2.13,-6.79,6.41,49.01,16.48,-98.02
290,2.15,-7.45,6.43,49.68,20.26,-92.35
300,2.12,-8.38,6.90,48.89,23.13,-84.35
310,2.37,-9.50,7.68,19.17,29.30,-58.78
320,2.77,-11.10,7.95,-19.10,35.34,-39.67
330,2.68,-11.11,7.54,-62.56,38.27,-18.86
340,2.69,-10.85,6.99,-100.71,37.29,-0.06
350,2.70,-10.48,6.39,-128.30,35.10,15.38
360,2.67,-10.07,5.93,-144.41,31.74,37.05
370,2.80,-9.74,6.84,-154.54,31.13,43.27
380,3.15,-10.26,7.51,-165.16,31.98,49.32
390,3.71,-10.42,8.25,-186.28,32.84,59.75
400,4.14,-10.73,8.98,-215.21,34.00,76.05
410,4.46,-10.83,9.47,-250.49,38.88,98.63
420,3.96,-9.49,9.55,-336.30,54.69,147.89
430,3.47,-8.23,8.70,-371.52,64.88,166.63
440,3.30,-7.08,8.15,-390.75,71.23,177.86
450,3.09,-5.81,8.00,-393.25,71.04,184.88
460,3.26,-4.79,8.05,-384.77,68.97,191.22
470,3.54,-2.58,7.77,-368.35,69.34,204.96
480,2.93,-1.37,7.23,-357.54,65.98,213.13
490,2.66,0.06,6.71,-340.58,60.73,220.28
500,2.63,1.35,6.51,-320.86,57.19,223.14
510,2.34,2.16,6.05,-302.19,55.36,221.19
520,1.94,3.46,5.48,-251.95,52.67,206.12
530,1.78,5.76,4.29,-220.89,50.60,194.09
540,1.54,7.05,3.94,-182.01,48.89,179.99
550,1.40,8.07,3.91,-137.27,46.94,165.04
560,1.28,8.95,4.08,-89.60,45.47,147.09
570,1.13,9.59,4.40,-44.62,61.52,101.20
580,1.05,10.36,4.85,31.31,52.73,76.97
590,0.92,10.63,4.91,64.27,58.90,54.26
600,0.68,11.04,4.90,96.31,66.47,31.43
610,0.56,11.25,4.81,134.03,75.01,7.93
620,0.66,11.18,4.70,178.28,86.00,-16.36
630,1.67,10.15,5.06,280.27,110.66,-68.60
640,1.67,8.86,4.91,330.08,115.36,-92.10
650,1.73,7.75,5.02,368.96,119.81,-113.22
660,2.03,6.89,5.09,399.84,128.60,-135.31
670,2.38,6.24,5.05,430.73,140.20,-157.84
680,3.27,5.00,5.12,481.38,170.10,-194.03
690,3.93,1.55,5.71,479.25,183.29,-210.14
700,4.16,0.69,6.27,463.07,189.58,-224.98
710,4.58,-0.05,6.75,443.05,185.91,-236.15
720,4.91,-0.76,6.68,418.15,173.58,-242.43
730,5.22,-1.35,6.72,356.38,140.62,-243.71
740,5.06,-2.36,6.27,323.49,124.63,-241.76
750,4.99,-2.51,5.95,291.87,111.51,-240.54
760,4.83,-2.45,5.58,267.58,101.07,-240.78
770,4.45,-2.70,5.03,251.89,94.91,-241.88
780,3.96,-2.96,4.61,238.22,92.35,-243.84
790,3.44,-4.09,3.99,214.60,89.78,-253.11
800,3.60,-4.64,3.57,213.01,90.52,-261.96
810,3.22,-5.40,2.43,220.03,97.47,-272.22
820,3.11,-6.44,2.11,228.27,110.35,-277.59
830,2.95,-7.44,2.28,231.45,119.45,-277.65
840,2.78,-9.12,1.93,240.60,114.81,-272.77
850,2.00,-9.50,1.51,241.76,104.00,-267.82
860,1.62,-9.96,0.97,229.80,90.27,-255.62
870,1.57,-10.82,0.57,198.97,79.10,-236.57
880,1.28,-11.46,-0.19,153.38,70.19,-213.50
890,1.06,-12.48,-0.25,44.19,65.92,-156.62
900,1.00,-14.46,-0.57,-7.63,61.71,-127.69
910,0.90,-14.66,-1.04,-57.43,57.07,-99.06
920,1.06,-14.82,-1.45,-102.66,52.92,-66.77
930,1.24,-14.84,-1.24,-139.53,49.87,-34.18
940,0.85,-14.90,-1.17,-166.93,49.19,26.67
950,0.34,-15.17,-0.55,-215.82,52.86,55.79
960,0.54,-15.43,0.52,-242.07,55.66,82.64
970,0.57,-15.63,0.72,-265.62,52.12,105.71
980,0.65,-15.65,1.07,-284.67,46.02,123.84
990,0.87,-15.28,1.53,-294.92,40.77,136.05
