timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.20,-0.09,12.75,73.06,-25.82,-39.00
10,-0.25,0.25,12.12,71.17,-18.98,-35.95
20,0.08,0.39,11.61,72.27,-16.97,-36.07
30,-0.21,0.00,12.12,70.92,-13.12,-30.70
40,-0.48,-0.19,12.68,62.87,-8.91,-24.41
50,0.01,1.02,13.93,42.60,-8.79,-23.56
60,-0.06,1.44,14.32,34.85,-6.10,-25.63
70,-0.25,1.62,14.77,28.93,-0.85,-30.03
80,-0.50,1.69,15.33,24.54,3.91,-36.50
90,-0.70,1.68,15.85,22.46,7.08,-43.82
100,-0.69,1.39,17.25,26.86,20.02,-58.35
110,-0.53,1.07,17.77,30.33,30.58,-62.56
120,-0.57,0.54,17.82,33.69,42.72,-64.88
130,-0.60,-0.14,17.74,38.09,56.70,-65.61
140,-0.58,-0.82,17.35,43.70,70.62,-65.92
150,-0.53,-1.44,17.09,58.78,92.90,-69.27
160,-0.42,-2.12,16.36,65.73,101.14,-72.63
170,-0.33,-2.40,16.14,68.24,110.53,-73.00
180,-0.43,-2.08,16.89,68.91,114.32,-69.58
190,-1.52,-3.22,15.82,70.13,118.65,-61.71
200,-0.65,-3.47,15.49,54.32,136.72,-53.22
210,-0.42,-2.70,13.41,46.69,144.65,-43.58
220,-0.67,-2.79,12.64,47.61,152.71,-31.01
230,-0.99,-2.68,11.80,51.51,158.26,-21.24
240,-1.05,-2.84,11.34,56.40,163.33,-14.34
250,-0.98,-3.01,10.89,60.30,166.69,-11.11
260,-0.53,-3.26,10.03,61.40,165.53,-5.19
270,-0.44,-3.49,9.75,59.20,162.29,0.06
280,-0.40,-3.62,9.45,53.89,158.81,5.92
290,-0.31,-3.95,8.97,47.18,155.70,12.21
300,-0.01,-4.07,8.57,39.55,153.99,19.78
310,0.20,-4.10,7.51,22.22,148.01,42.54
320,0.00,-4.14,6.90,15.32,143.80,54.38
330,-0.02,-4.04,6.23,15.26,140.26,64.21
340,-0.13,-3.99,5.66,19.84,138.92,71.53
350,-0.21,-4.09,5.35,25.82,138.55,76.78
360,-0.08,-4.32,5.28,35.16,135.80,84.23
370,0.10,-4.86,5.02,34.18,134.09,88.13
380,0.31,-4.83,4.64,30.33,131.29,92.90
390,0.51,-4.58,4.14,25.51,126.77,99.61
400,0.65,-4.23,3.72,21.24,120.54,108.40
410,0.30,-3.84,2.77,17.40,112.67,126.34
420,-0.09,-3.22,2.06,7.20,101.99,132.93
430,-0.17,-2.92,1.71,3.60,95.21,136.35
440,-0.17,-2.56,0.96,2.14,84.90,138.06
450,-0.04,-1.94,0.13,1.40,74.95,138.85
460,0.23,-1.21,-0.66,2.69,66.89,140.14
470,0.72,-0.03,-1.63,15.26,52.73,144.90
480,1.51,0.41,-1.76,23.50,44.62,146.61
490,2.02,0.89,-1.71,30.33,34.06,147.64
500,2.57,1.43,-1.60,33.94,21.55,148.13
510,3.09,2.19,-1.55,33.87,7.32,148.56
520,3.41,2.89,-1.46,28.02,-19.41,149.96
530,3.46,4.04,-0.98,23.07,-32.04,149.84
540,3.54,4.64,-0.88,16.54,-45.04,147.95
550,3.81,5.33,-0.69,10.99,-57.92,145.20
560,4.35,6.21,-0.34,6.53,-70.56,141.36
570,4.57,7.07,0.03,2.20,-92.04,136.54
580,3.81,9.22,0.88,0.37,-100.83,135.44
590,3.40,10.64,1.61,7.75,-109.80,133.61
600,2.67,11.76,2.75,18.68,-116.33,129.33
610,2.00,12.58,4.17,29.48,-119.51,121.03
620,1.29,14.10,5.70,36.44,-119.81,106.75
630,0.32,15.81,8.64,37.60,-119.38,72.81
640,-0.36,16.50,9.56,30.88,-122.07,47.00
650,-0.91,17.10,10.09,21.06,-124.88,15.14
660,-1.24,17.23,10.57,10.13,-124.82,-18.98
670,-1.33,16.68,11.26,2.50,-125.06,-54.81
680,-1.42,15.26,13.14,1.40,-129.94,-135.80
690,-0.23,10.09,14.64,4.03,-127.44,-174.80
700,0.80,6.17,16.45,5.43,-119.69,-205.08
710,2.33,1.75,18.24,1.28,-103.94,-221.50
720,3.88,-2.89,19.60,-10.50,-80.99,-221.13
730,5.44,-7.06,20.18,-28.56,-33.87,-171.87
740,7.80,-10.67,19.73,-22.77,-16.17,-129.94
750,7.66,-11.66,19.34,-10.93,2.50,-87.52
760,7.28,-12.26,18.61,-4.46,24.17,-50.60
770,7.23,-12.31,17.65,-6.65,46.75,-23.44
780,7.27,-12.15,16.21,-17.46,64.33,11.41
790,6.93,-10.66,11.52,-50.05,79.28,27.22
800,6.70,-9.44,8.95,-59.14,82.58,42.66
810,6.71,-8.29,6.95,-58.04,84.66,58.72
820,6.05,-7.18,4.26,-48.34,82.21,74.95
830,5.64,-5.82,2.25,-32.35,77.64,92.35
840,5.21,-2.87,1.14,1.46,61.10,135.62
850,4.36,-1.60,0.84,15.32,50.05,154.85
860,3.62,-0.28,0.65,28.08,41.26,166.99
870,3.01,0.86,0.60,36.19,31.25,173.10
880,2.58,2.01,0.68,39.49,19.23,174.32
890,2.20,3.29,1.00,34.18,-10.99,170.47
900,1.42,5.85,2.26,25.63,-29.66,168.09
910,0.94,7.22,2.58,15.08,-47.36,163.82
920,0.64,8.72,2.66,5.13,-62.81,156.92
930,-0.09,10.14,2.64,-2.93,-73.67,150.09
940,-0.83,12.10,2.14,-8.18,-84.05,136.47
950,-2.29,16.52,0.18,-0.43,-82.70,131.90
960,-3.52,18.44,-0.27,12.27,-79.28,127.93
970,-5.30,19.64,0.02,33.81,-79.47,116.58
980,-6.74,19.89,1.46,60.24,-85.57,88.93
990,-7.79,19.35,3.69,83.31,-98.94,-21.55
