timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.75,-6.99,9.80,-86.06,-55.79,-59.14
10,0.09,-7.23,9.41,-88.87,-69.27,-51.33
20,0.04,-7.45,10.49,-77.21,-76.90,-50.96
30,-0.22,-7.40,11.36,-56.15,-75.20,-52.19
40,-0.38,-8.02,11.23,-3.11,-46.51,-45.96
50,-0.83,-8.61,10.95,8.18,-29.54,-41.99
60,-0.80,-8.80,11.34,5.55,-13.49,-38.33
70,-0.81,-8.73,12.71,-7.63,2.01,-36.74
80,-0.85,-8.61,13.98,-20.20,19.65,-34.30
90,-0.58,-8.24,15.12,-34.30,48.77,-24.29
100,0.99,-7.13,17.13,-28.87,60.24,-17.88
110,2.09,-7.19,17.29,-14.34,71.04,-9.34
120,3.62,-7.29,17.19,-2.26,75.56,-2.62
130,1.53,-5.70,16.50,1.34,73.79,0.67
140,0.09,-5.09,16.13,9.89,99.79,3.85
150,1.16,-6.35,15.67,20.94,114.56,9.46
160,0.05,-7.31,14.65,20.45,132.51,8.91
170,-0.91,-7.82,14.55,11.47,149.23,7.93
180,-1.13,-8.22,14.56,-0.37,161.07,13.73
190,-1.19,-8.33,14.15,-6.77,172.55,22.22
200,-1.75,-8.59,10.41,-4.21,194.27,43.52
210,-1.57,-8.45,9.04,-8.73,189.03,54.14
220,-1.29,-8.38,9.04,-16.66,172.49,62.07
230,-1.44,-8.40,8.94,-17.52,157.47,66.59
240,-1.92,-8.32,8.13,-11.23,151.61,71.23
250,-2.38,-8.11,5.81,-5.07,145.57,87.40
260,-2.29,-7.26,4.85,-11.29,139.95,96.13
270,-2.22,-6.57,4.42,-17.52,136.05,102.97
280,-2.13,-5.77,3.86,-20.02,133.18,109.25
290,-1.86,-5.03,3.08,-19.41,129.09,115.05
300,-1.47,-4.35,2.43,-15.14,114.32,122.01
310,-0.93,-2.75,1.86,-12.21,103.27,122.62
320,-0.75,-2.38,1.44,-8.12,89.23,122.99
330,-0.78,-2.11,0.86,-0.43,73.97,121.89
340,-0.83,-1.81,0.36,6.59,59.45,120.24
350,-0.90,-1.45,0.17,11.11,43.88,123.96
360,-0.92,-0.61,0.00,18.25,9.46,128.66
370,-0.91,0.13,-0.16,20.14,-5.74,133.54
380,-0.72,1.07,-0.22,18.92,-21.06,138.61
390,-0.36,2.12,0.18,13.31,-36.99,142.15
400,-0.02,2.80,1.47,4.88,-53.16,141.91
410,0.72,6.67,2.80,-2.87,-86.36,127.93
420,1.75,7.56,3.16,10.13,-95.28,117.55
430,2.25,7.93,3.40,23.13,-100.40,103.52
440,2.44,8.08,3.89,32.78,-102.78,87.77
450,2.51,8.25,4.54,38.27,-103.58,71.35
460,2.72,8.52,5.51,41.08,-106.87,41.20
