timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.11,0.04,10.53,-1.34,-5.00,-1.59
10,-0.34,0.36,9.85,3.11,-1.77,-1.59
20,-0.26,0.30,9.89,4.33,-1.04,-1.83
30,-0.27,0.27,9.92,4.27,-0.92,-1.83
40,-0.27,0.27,9.92,3.72,-0.98,-1.83
50,-0.26,0.26,9.90,3.48,-0.98,-1.89
60,-0.26,0.26,9.91,2.93,-0.85,-1.95
70,-0.26,0.26,9.91,2.50,-0.92,-1.83
80,-0.30,0.31,9.85,1.71,-0.79,-1.83
90,0.22,-0.01,9.94,2.08,-0.43,-1.89
100,-0.36,0.32,9.81,1.40,-0.79,-1.83
110,-0.35,0.17,9.92,4.94,3.23,-1.89
120,-0.66,0.94,8.70,2.87,2.08,2.81
130,-0.17,0.07,10.24,33.08,21.30,2.87
140,0.77,-0.83,10.03,26.00,16.78,-1.10
150,-0.56,0.70,9.76,-3.17,-5.49,1.83
160,0.23,-0.36,9.90,5.74,1.28,-1.53
170,-0.43,0.52,9.86,1.40,-1.77,-1.77
180,-0.02,-0.02,9.91,3.11,-0.92,-1.83
190,-0.17,0.16,9.88,2.93,-0.92,-1.83
200,-0.20,0.20,9.87,2.62,-1.22,-1.83
210,-0.16,0.17,9.88,3.17,-0.61,-1.83
220,-0.17,0.16,9.87,2.50,-1.22,-1.83
230,-0.21,0.20,9.86,2.50,-1.10,-1.95
240,-0.19,0.17,9.89,2.99,-0.98,-2.01
250,-0.19,0.19,9.86,3.11,-1.04,-1.95
260,-0.18,0.17,9.89,3.11,-0.98,-1.95
270,-0.20,0.19,9.88,2.99,-0.79,-1.83
280,-0.16,0.15,9.88,3.23,-0.92,-1.77
290,-0.19,0.19,9.90,2.62,-1.16,-1.83
300,-0.16,0.16,9.86,3.11,-0.85,-1.89
310,-0.17,0.17,9.88,3.11,-0.92,-1.95
320,-0.18,0.17,9.89,2.69,-1.22,-1.89
330,-0.17,0.17,9.87,2.75,-1.04,-1.95
340,-0.17,0.17,9.87,2.69,-1.04,-1.89
350,-0.17,0.17,9.87,3.05,-1.16,-1.83
360,-0.17,0.16,9.88,3.30,-0.92,-1.89
370,-0.18,0.18,9.87,2.93,-0.85,-1.83
380,-0.19,0.18,9.88,2.93,-0.98,-1.89
390,-0.17,0.17,9.88,2.87,-0.92,-1.83
400,-0.19,0.18,9.86,2.81,-0.92,-1.89
410,-0.18,0.17,9.88,3.05,-1.04,-1.89
420,-0.18,0.17,9.89,3.11,-0.85,-2.01
430,-0.18,0.17,9.87,2.81,-1.04,-1.89
440,-0.19,0.18,9.88,2.87,-0.92,-1.83
450,-0.19,0.18,9.86,2.81,-1.10,-1.89
460,-0.19,0.19,9.87,3.17,-0.92,-1.95
470,-0.20,0.18,9.89,2.75,-1.04,-1.89
480,-0.19,0.17,9.89,2.75,-1.10,-1.89
490,-0.18,0.17,9.88,2.87,-1.10,-1.83
500,-0.19,0.17,9.89,2.87,-0.98,-1.89
510,-0.18,0.17,9.87,3.30,-1.04,-1.95
520,-0.18,0.18,9.86,3.17,-1.10,-1.95
530,-0.18,0.18,9.87,2.93,-1.10,-1.89
540,-0.18,0.16,9.89,2.87,-0.98,-1.83
550,-0.17,0.17,9.87,2.87,-1.16,-1.89
560,-0.18,0.16,9.89,3.23,-1.10,-1.83
570,-0.17,0.17,9.87,3.05,-1.04,-1.95
580,-0.17,0.17,9.87,3.11,-0.85,-2.01
590,-0.17,0.18,9.88,2.99,-0.92,-1.89
600,-0.16,0.17,9.88,3.17,-0.92,-1.95
610,-0.18,0.17,9.88,3.36,-1.04,-2.01
620,-0.17,0.16,9.89,3.23,-1.04,-1.89
630,-0.19,0.18,9.87,3.05,-0.85,-1.89
640,-0.19,0.18,9.87,3.11,-0.98,-1.89
650,-0.18,0.17,9.90,2.93,-0.92,-1.89
660,-0.18,0.18,9.87,3.05,-1.16,-1.89
670,-0.18,0.16,9.89,2.93,-1.04,-1.95
680,-0.17,0.18,9.86,2.81,-0.92,-1.95
690,-0.19,0.19,9.87,2.87,-1.10,-1.83
700,-0.19,0.17,9.87,2.75,-0.98,-1.83
710,-0.18,0.17,9.88,3.05,-1.22,-1.83
720,-0.16,0.16,9.82,2.87,-1.16,-1.89
730,-0.23,0.22,9.90,2.38,-1.40,-1.89
740,-0.19,0.18,9.88,2.56,-1.22,-1.89
750,-0.19,0.17,9.86,3.17,-0.61,-1.89
760,-0.19,0.17,9.89,2.56,-1.53,-1.89
770,-0.20,0.19,9.87,2.81,-1.16,-1.89
780,-0.19,0.16,9.88,2.99,-0.92,-1.89
790,-0.19,0.17,9.89,2.87,-1.22,-1.89
800,-0.19,0.19,9.88,2.87,-1.16,-1.83
810,-0.18,0.16,9.88,3.11,-0.98,-1.95
820,-0.18,0.18,9.87,2.99,-1.04,-1.95
830,-0.18,0.16,9.89,2.87,-0.98,-1.89
840,-0.18,0.17,9.88,2.87,-0.85,-1.95
850,-0.18,0.18,9.88,2.75,-0.98,-1.95
860,-0.18,0.17,9.88,2.87,-1.10,-1.89
870,-0.17,0.17,9.87,2.99,-1.04,-1.77
880,-0.17,0.18,9.86,2.87,-0.98,-1.83
890,-0.18,0.17,9.89,3.11,-0.92,-1.89
900,-0.18,0.17,9.88,3.17,-0.79,-1.95
910,-0.17,0.17,9.87,3.17,-0.61,-1.89
920,-0.17,0.17,9.86,2.99,-1.16,-1.77
930,-0.18,0.16,9.87,2.75,-0.98,-1.83
940,-0.18,0.16,9.89,2.93,-0.92,-1.83
950,-0.16,0.17,9.89,2.87,-1.10,-1.95
960,-0.18,0.17,9.87,2.93,-1.04,-2.01
970,-0.19,0.18,9.87,3.17,-0.85,-1.83
980,-0.18,0.18,9.87,2.87,-1.16,-1.83
990,-0.18,0.17,9.87,2.87,-1.10,-1.83
