timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,0.63,5.04,8.16,-5.07,-12.02,-62.99
11,0.61,6.03,7.24,-43.33,-31.19,-57.80
21,-0.26,7.06,6.97,-55.85,-41.32,-57.56
31,-0.55,7.59,6.88,-64.58,-48.71,-61.52
41,-0.98,8.04,6.68,-70.43,-54.20,-67.75
51,-1.45,8.35,6.56,-73.18,-57.43,-76.60
61,-1.86,8.93,6.24,-66.41,-61.95,-106.87
71,-3.22,8.84,6.13,-53.83,-63.05,-128.17
81,-3.30,8.54,6.37,-41.38,-63.66,-151.86
91,-3.15,8.29,6.46,-31.49,-65.19,-174.13
101,-2.92,7.90,6.53,-23.62,-66.83,-192.87
111,-2.58,7.44,6.53,-17.58,-67.87,-222.47
121,-2.01,6.31,6.62,-4.94,-73.06,-233.46
131,-1.74,5.86,6.82,-0.49,-76.90,-241.09
141,-1.54,6.03,8.15,2.62,-85.02,-245.18
151,-2.45,4.84,7.52,4.39,-93.75,-245.91
161,-2.24,4.41,7.72,1.83,-91.80,-250.55
171,-2.13,5.06,7.14,3.23,-95.40,-270.45
181,-1.98,4.54,7.18,6.47,-94.85,-277.16
191,-1.77,4.58,7.41,8.00,-94.18,-279.72
201,-1.88,3.97,7.49,10.07,-99.49,-281.25
211,-2.00,3.40,7.91,10.80,-108.40,-282.47
221,-2.20,2.67,8.51,11.17,-129.03,-289.37
231,-2.21,1.36,9.70,10.01,-137.33,-292.79
241,-2.23,0.79,10.05,7.57,-143.07,-293.88
251,-2.30,0.32,10.32,4.88,-145.69,-293.70
261,-2.35,-0.01,10.51,2.38,-146.06,-293.76
271,-2.35,-0.16,10.70,-0.31,-143.19,-293.21
281,-2.35,-0.51,11.12,-1.16,-142.40,-291.26
291,-2.47,-0.73,11.43,-0.37,-141.30,-288.51
301,-2.68,-1.24,11.84,2.20,-140.50,-284.30
311,-2.82,-1.78,12.23,7.32,-139.04,-279.36
321,-2.78,-2.13,12.52,13.85,-135.19,-257.26
331,-2.62,-2.83,13.10,31.01,-117.25,-254.58
341,-2.56,-3.08,13.47,38.64,-102.42,-242.07
351,-2.55,-3.40,14.04,42.79,-86.18,-226.93
361,-2.83,-3.85,14.40,41.75,-72.02,-211.00
371,-2.86,-4.20,14.77,36.01,-60.18,-197.14
381,-2.72,-6.09,15.52,22.71,-40.41,-172.55
391,-2.10,-6.37,15.54,16.36,-30.15,-159.30
401,-1.83,-6.55,15.35,10.86,-19.04,-144.29
411,-1.57,-6.49,15.12,6.90,-7.08,-126.28
421,-1.39,-6.76,15.08,5.13,5.00,-104.55
431,-1.30,-7.01,14.83,7.02,25.88,-61.22
441,-0.77,-7.26,14.53,6.59,35.89,-42.18
451,-0.24,-7.39,14.42,2.62,45.23,-22.58
461,0.02,-7.35,14.38,-5.37,54.02,-1.46
471,0.14,-7.09,14.16,-13.79,62.26,21.00
481,0.06,-6.60,13.78,-21.48,85.21,67.63
491,0.27,-5.59,12.77,-39.18,98.51,89.72
501,0.03,-5.05,12.42,-51.64,102.54,107.42
511,-0.53,-4.06,12.22,-58.53,100.71,120.54
521,-0.57,-3.27,11.84,-58.17,97.35,130.92
531,-0.32,-2.88,11.57,-52.92,91.25,141.97
541,0.05,-2.44,11.27,-42.36,83.62,160.52
551,0.14,-2.08,11.14,-34.91,86.06,170.65
561,0.22,-1.84,11.10,-27.10,94.42,183.59
571,0.42,-1.47,11.16,-20.26,107.85,198.43
581,0.50,-1.20,11.16,-15.87,121.15,215.64
591,0.24,-1.07,10.99,-19.10,142.03,249.45
601,-0.40,-0.58,10.96,-24.17,148.99,263.24
611,-0.86,-0.08,10.78,-28.38,151.49,273.19
621,-0.95,0.26,10.59,-28.87,152.04,279.05
631,-0.67,0.64,10.33,-27.53,153.50,284.97
641,-0.21,0.98,10.11,-23.19,166.08,304.81
651,0.05,1.10,9.81,-19.35,177.00,322.45
661,-0.13,1.08,9.50,-12.57,187.68,343.08
671,-0.74,1.10,9.38,-7.26,197.14,362.67
681,-1.67,1.53,9.21,-3.66,203.00,375.61
691,-2.56,2.02,8.95,-1.83,203.74,380.80
701,-3.23,3.00,8.64,-4.76,191.71,370.36
711,-3.26,3.68,8.52,-9.28,181.15,359.07
721,-3.35,4.27,8.17,-14.83,169.98,346.86
731,-3.44,5.09,7.82,-14.71,157.53,338.62
741,-3.48,5.81,7.41,-12.45,145.51,333.25
751,-3.93,7.46,6.96,-12.94,132.87,312.13
761,-4.70,8.18,6.85,-11.96,128.85,291.87
771,-4.60,8.73,6.85,-11.60,127.62,266.05
781,-4.50,9.16,6.84,-13.55,127.26,239.69
791,-4.49,9.35,6.65,-16.11,124.57,215.70
801,-4.51,9.67,6.02,-16.91,115.78,171.94
811,-4.37,9.75,5.05,-15.50,112.18,151.49
821,-4.27,9.79,4.45,-11.84,110.47,132.87
831,-4.03,9.90,4.13,-4.64,110.72,116.94
841,-3.66,9.89,4.02,4.09,110.66,103.88
851,-3.36,9.87,4.19,11.66,98.57,83.98
861,-2.96,9.68,4.06,14.28,90.76,74.95
871,-2.78,9.81,4.05,11.29,83.31,66.04
881,-2.64,9.86,3.96,10.50,74.65,57.37
891,-2.49,9.86,3.85,11.29,65.86,48.77
901,-2.40,9.84,3.77,12.51,58.41,39.86
911,-2.12,9.74,3.64,15.93,47.00,21.79
921,-1.89,9.60,3.61,18.80,42.85,13.79
931,-1.64,9.46,3.61,21.36,40.10,6.65
941,-1.38,9.33,3.71,23.56,37.29,0.79
951,-1.17,9.19,3.86,23.99,33.75,-3.97
961,-1.04,9.10,3.91,20.20,26.55,-10.93
971,-1.02,8.97,3.74,17.64,23.38,-13.73
981,-1.06,9.00,3.53,13.85,19.53,-16.42
991,-1.14,9.09,3.36,10.74,14.47,-19.23
