timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.33,0.38,9.77,1.53,-2.69,-1.40
10,-0.18,0.42,10.18,4.15,-0.98,-1.71
20,-0.27,0.34,9.86,4.27,-1.34,-1.89
30,-0.27,0.27,9.92,4.09,-1.28,-1.89
40,-0.27,0.26,9.93,3.78,-1.04,-1.77
50,-0.28,0.26,9.94,3.30,-1.10,-1.83
60,-0.28,0.27,9.92,2.99,-1.28,-1.89
70,-0.26,0.26,9.92,2.14,-1.04,-1.89
80,-0.27,0.28,9.88,1.95,-0.98,-1.95
90,-0.26,0.29,9.87,1.71,-0.79,-1.83
100,-0.28,0.30,9.87,1.95,-0.55,-1.83
110,-0.65,0.36,9.93,1.95,-0.55,-1.89
120,0.04,-0.13,10.15,3.54,1.53,-1.28
130,-1.06,0.96,9.88,6.71,3.91,6.23
140,-0.79,0.74,9.97,21.48,12.27,8.42
150,0.20,-0.87,10.74,31.86,20.39,-1.46
160,0.13,-0.13,10.10,15.93,9.16,-1.04
170,-0.35,0.34,9.92,-2.08,-4.52,-0.18
180,-0.09,0.28,9.87,1.16,-2.14,-1.77
190,-0.14,0.13,9.87,4.52,0.37,-1.95
200,-0.17,0.14,9.86,2.81,-1.04,-1.89
210,-0.23,0.23,9.88,2.87,-1.34,-1.77
220,-0.18,0.18,9.89,2.93,-1.16,-1.83
230,-0.18,0.17,9.87,2.87,-1.16,-1.89
240,-0.18,0.18,9.88,2.81,-1.16,-1.89
250,-0.20,0.19,9.88,2.99,-1.04,-1.83
260,-0.18,0.17,9.88,2.93,-1.04,-1.71
270,-0.19,0.19,9.87,3.05,-0.92,-1.89
280,-0.18,0.17,9.87,3.23,-0.79,-1.83
290,-0.18,0.18,9.87,3.05,-0.92,-1.83
300,-0.18,0.17,9.88,2.81,-1.10,-1.83
310,-0.18,0.17,9.88,2.81,-1.10,-1.71
320,-0.18,0.17,9.87,3.11,-0.92,-1.83
330,-0.17,0.17,9.89,2.87,-0.98,-1.83
340,-0.17,0.17,9.87,2.99,-0.92,-1.95
350,-0.18,0.17,9.89,2.87,-1.22,-1.89
360,-0.18,0.18,9.88,2.99,-0.98,-1.83
370,-0.17,0.18,9.88,3.05,-0.92,-1.89
380,-0.17,0.18,9.87,2.75,-0.92,-1.89
390,-0.18,0.17,9.88,2.93,-0.98,-1.77
400,-0.18,0.18,9.87,2.93,-0.85,-1.83
410,-0.20,0.17,9.86,2.93,-0.92,-1.77
420,-0.18,0.18,9.88,3.36,-0.98,-1.89
430,-0.18,0.18,9.87,2.87,-0.98,-1.95
