timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.87,-0.53,5.39,24.78,-33.02,-8.85
10,2.00,-0.35,4.85,19.96,-33.81,-3.91
20,2.39,-0.57,5.56,15.38,-37.66,1.59
30,2.34,-0.29,5.78,14.89,-40.34,6.41
40,2.44,-0.24,5.65,20.39,-39.06,8.85
50,2.46,-0.11,5.36,25.88,-37.41,6.59
60,2.71,-0.14,4.80,29.79,-37.60,2.75
70,2.75,-0.04,4.70,28.14,-36.38,-2.81
80,2.79,0.14,4.48,26.31,-32.35,-9.28
90,2.67,0.21,4.23,22.95,-27.47,-16.91
100,2.53,0.38,4.22,14.65,-25.82,-24.48
110,2.10,0.57,4.45,-2.56,-29.97,-33.26
120,1.90,0.69,4.79,-9.64,-33.81,-34.30
130,1.67,0.83,5.09,-12.94,-38.15,-33.02
140,1.33,1.15,5.27,-11.47,-44.31,-29.72
150,1.05,1.33,5.42,-6.23,-52.43,-24.48
160,0.40,1.70,7.05,2.08,-75.87,-13.73
170,1.57,2.92,6.55,3.66,-79.96,-6.41
180,1.96,3.57,6.90,11.90,-80.44,-10.93
190,1.92,3.08,6.45,21.85,-76.97,-20.94
200,1.58,3.21,6.16,22.22,-80.32,-31.98
210,1.37,2.89,6.19,12.45,-90.45,-48.46
220,1.09,2.32,7.06,6.47,-94.48,-54.63
230,0.80,2.19,7.59,2.08,-98.45,-59.75
240,0.44,2.08,8.05,0.12,-101.62,-64.15
250,0.15,1.86,8.52,-0.43,-104.06,-67.63
260,-0.29,1.61,9.08,-0.12,-122.38,-73.30
270,-0.99,1.64,10.27,1.46,-111.76,-76.11
280,-1.06,1.83,10.79,4.46,-113.22,-78.80
290,-1.01,1.81,11.18,11.90,-113.10,-83.07
300,-0.96,1.42,11.48,19.53,-113.46,-88.87
310,-1.10,1.14,11.78,24.23,-114.01,-95.03
320,-1.71,0.62,13.14,26.00,-108.58,-108.46
330,-2.19,0.43,14.08,26.49,-102.54,-116.15
340,-2.77,0.29,14.85,29.91,-94.48,-123.17
350,-3.39,0.08,15.23,35.10,-85.27,-129.46
360,-3.90,-0.17,15.35,40.22,-75.74,-133.79
370,-4.12,-0.45,15.70,44.62,-60.67,-135.31
380,-3.92,-0.87,16.73,47.30,-53.65,-134.64
390,-3.46,-1.31,16.97,52.80,-45.29,-133.30
400,-3.13,-1.78,16.95,58.04,-38.09,-131.65
410,-2.91,-2.23,16.80,62.32,-31.25,-130.43
420,-2.71,-2.58,16.91,64.03,-16.30,-128.54
430,-2.66,-3.35,17.47,63.96,-8.30,-128.36
440,-2.69,-3.66,17.65,61.89,0.79,-127.75
450,-2.68,-3.90,17.85,57.13,12.27,-126.10
460,-2.54,-4.13,18.06,50.60,25.09,-123.47
470,-2.28,-4.45,18.13,43.21,38.45,-120.12
480,-1.92,-4.95,18.04,28.32,67.08,-115.72
490,-1.89,-5.18,18.05,23.32,80.93,-114.56
500,-1.99,-5.34,17.93,20.51,92.65,-113.10
510,-2.17,-5.54,17.70,20.32,103.21,-110.90
520,-2.32,-5.79,17.17,21.67,112.92,-108.15
530,-2.55,-6.45,15.25,19.04,131.23,-101.26
540,-2.84,-6.91,14.34,13.37,141.78,-97.78
550,-2.83,-7.07,13.56,4.64,152.10,-93.75
560,-2.69,-7.14,12.98,-3.91,160.71,-88.50
570,-2.53,-7.02,12.58,-9.40,166.63,-82.95
580,-2.44,-6.91,12.15,-6.29,169.07,-72.81
590,-2.31,-6.87,10.88,-1.22,166.69,-66.28
600,-2.00,-7.00,10.01,3.97,163.33,-59.45
610,-1.72,-7.41,9.16,9.22,160.64,-53.47
620,-1.68,-7.75,8.42,13.31,158.14,-48.95
630,-1.75,-7.99,7.86,16.05,155.21,-37.78
640,-1.61,-8.46,6.84,19.71,148.38,-30.09
650,-1.71,-8.57,6.03,20.57,143.86,-21.61
660,-1.60,-8.84,5.26,20.39,141.36,-12.63
670,-1.55,-8.68,4.86,17.40,140.26,-4.33
680,-1.37,-8.35,4.64,11.84,139.89,4.76
690,-0.76,-7.77,4.24,0.73,129.09,25.02
700,-0.49,-7.49,4.03,-1.77,121.64,34.12
710,-0.24,-7.23,3.71,-1.53,114.81,42.72
720,0.07,-7.04,3.33,0.79,107.60,50.54
730,0.33,-6.88,2.93,3.54,99.37,58.04
740,0.53,-6.69,2.25,6.65,81.73,70.43
750,0.72,-6.08,1.67,7.08,72.81,76.17
760,0.86,-5.82,1.49,5.68,64.45,82.15
770,0.87,-5.50,1.35,3.05,55.11,88.26
780,0.91,-5.16,1.21,-0.49,46.75,94.97
790,0.99,-4.75,1.18,-8.79,33.33,109.07
800,1.10,-3.69,1.33,-12.51,26.18,116.09
810,1.28,-3.10,1.33,-16.60,18.19,123.05
820,1.47,-2.44,1.48,-20.32,9.89,129.76
830,1.69,-1.83,1.88,-22.83,1.34,135.99
840,1.86,-1.27,2.41,-22.09,-7.32,144.04
850,2.00,-0.45,3.10,-10.13,-29.24,145.45
860,2.12,-0.39,3.12,-2.38,-39.12,145.14
870,2.24,-0.45,3.08,3.48,-46.88,143.25
880,2.13,-0.74,2.83,7.08,-52.92,138.98
890,1.72,-0.89,2.31,7.51,-57.37,132.57
900,1.00,0.23,2.91,-13.92,-63.35,133.24
910,1.04,0.84,3.70,-26.06,-68.18,139.95
920,1.16,1.47,4.43,-30.52,-74.46,144.47
930,1.34,2.01,5.17,-28.20,-80.57,147.22
940,1.62,2.35,5.94,-20.94,-88.26,149.23
950,1.86,2.44,6.62,3.36,-107.30,147.28
960,2.29,1.69,7.45,19.10,-110.17,142.70
970,1.74,1.79,7.19,28.81,-115.54,134.46
980,1.05,2.17,7.16,28.81,-122.44,128.48
990,0.87,2.41,7.52,23.56,-125.18,127.26
