timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.46,-10.74,-1.77,93.51,43.88,-251.10
10,0.90,-11.52,-2.95,91.19,51.51,-219.24
20,0.03,-10.92,-2.17,91.74,41.20,-153.93
30,-4.95,-11.96,-1.37,91.31,48.95,-139.59
40,-6.40,-12.69,-1.48,77.94,64.33,-139.83
50,-5.10,-12.92,-1.27,58.47,77.76,-146.79
60,-4.04,-13.35,-1.95,38.09,80.20,-144.65
70,-3.35,-14.67,-2.81,26.00,52.61,-108.09
80,-3.41,-15.70,-4.11,22.77,39.37,-84.72
90,-3.60,-15.68,-3.68,26.18,32.78,-60.00
100,-2.65,-15.07,-2.45,24.66,29.54,-36.50
110,-1.90,-15.96,-2.65,21.36,21.61,-10.74
120,-2.41,-16.28,-2.00,12.94,14.59,19.35
130,-3.98,-15.38,-2.13,-37.48,3.05,70.62
140,-3.49,-14.45,-2.06,-66.83,4.27,85.33
150,-3.32,-13.49,-2.04,-86.18,7.87,94.36
160,-3.71,-12.32,-2.13,-101.56,7.69,100.89
170,-4.52,-12.03,-2.24,-105.22,4.33,106.20
180,-4.54,-11.26,-1.15,-94.36,11.17,94.85
190,-3.44,-10.81,-0.68,-76.66,15.56,85.33
200,-2.68,-10.86,-0.04,-63.35,23.50,76.78
210,1.33,-9.13,0.69,-57.56,34.85,72.94
220,-3.58,-12.44,1.97,-52.12,39.43,75.38
230,-1.78,-10.77,2.02,-106.45,83.44,91.92
240,-1.23,-10.78,1.86,-122.50,95.70,95.76
250,-1.10,-9.86,-0.19,-139.53,97.11,101.26
260,-0.92,-8.96,-1.92,-136.11,92.59,106.75
270,-1.26,-8.20,-2.77,-103.52,82.58,106.51
280,-1.84,-7.85,-2.87,-50.05,72.20,81.24
290,-2.41,-7.93,-1.73,50.29,57.86,62.50
300,-2.45,-9.59,-2.03,75.74,55.24,44.92
310,-1.72,-10.48,-1.67,71.72,59.02,29.54
320,-1.09,-11.48,-1.94,46.75,53.89,26.61
330,-0.11,-12.32,-3.26,8.54,42.11,38.09
340,0.97,-12.04,-7.08,-53.10,7.02,90.70
350,1.20,-10.84,-8.73,-49.01,-17.64,121.09
360,-0.08,-9.63,-10.00,-10.93,-45.10,145.45
370,-0.75,-7.73,-10.24,50.60,-71.29,156.62
380,-1.20,-6.30,-10.02,127.56,-96.74,155.52
390,-2.49,-6.30,-6.95,285.34,-122.74,117.37
400,-2.24,-6.22,-5.41,332.82,-131.71,81.42
410,-1.33,-6.74,-3.75,354.61,-141.85,48.83
420,-0.48,-7.36,-2.27,349.00,-155.27,25.88
430,0.65,-7.61,-1.29,317.32,-172.36,15.38
440,1.15,-8.25,-1.30,200.74,-200.20,41.81
450,0.15,-8.59,-2.28,140.62,-203.19,63.54
460,0.07,-8.07,-3.24,91.37,-205.81,80.26
470,0.43,-7.37,-3.61,70.25,-205.87,84.90
480,-0.51,-7.07,-3.65,69.89,-198.97,79.77
490,-0.71,-6.97,-3.72,79.22,-187.81,45.23
500,0.97,-7.39,-3.36,92.29,-181.03,30.27
510,1.48,-8.59,-2.98,91.74,-188.17,22.58
520,1.54,-9.21,-2.48,79.65,-196.90,23.50
530,3.42,-9.54,-1.89,58.47,-196.59,36.80
