timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.45,1.19,4.87,117.74,-45.78,-75.07
10,1.51,0.31,4.75,162.23,-46.45,-58.47
20,2.33,-0.29,3.80,176.94,-63.48,-45.04
30,2.43,-1.18,2.80,185.12,-73.49,-37.48
40,2.44,-1.84,2.59,183.78,-76.35,-34.85
50,2.08,-2.03,2.58,175.72,-79.28,-36.13
60,1.95,-2.41,3.03,156.13,-71.66,-41.93
70,1.24,-2.63,3.14,146.67,-63.29,-47.12
80,1.03,-3.12,2.72,136.41,-52.67,-52.00
90,0.78,-3.64,2.34,121.70,-41.81,-57.31
100,0.55,-3.92,2.68,101.14,-33.39,-61.40
110,0.30,-3.81,2.23,61.46,-24.60,-62.81
120,0.32,-4.88,1.72,35.46,-31.13,-61.46
130,-0.14,-4.95,2.89,11.05,-43.76,-60.55
140,-0.76,-4.92,3.96,-2.62,-52.86,-55.79
150,-1.14,-4.92,4.21,-5.74,-59.63,-46.39
160,-1.06,-4.91,4.17,-7.26,-69.15,-21.36
170,-0.46,-3.83,6.01,-11.66,-97.90,-10.25
180,-0.50,-2.01,7.13,-13.00,-108.83,-1.40
190,0.72,-1.80,7.80,-7.26,-112.85,-4.21
200,1.21,-2.15,7.72,2.20,-110.78,-12.63
210,1.38,-2.54,7.45,3.54,-105.29,-25.51
220,0.46,-2.61,7.88,-11.05,-89.84,-51.03
230,0.19,-2.44,8.57,-18.07,-84.41,-58.78
240,-0.23,-2.21,9.17,-20.51,-82.34,-63.54
250,-0.71,-1.81,9.75,-18.55,-82.52,-65.61
260,-0.72,-1.69,10.04,-13.12,-84.35,-64.58
270,-0.46,-1.82,10.19,-1.71,-88.87,-59.14
280,0.50,-1.83,10.80,-0.43,-91.67,-58.04
290,1.04,-1.93,11.28,-0.61,-93.81,-58.72
300,1.39,-2.03,11.85,0.49,-94.06,-62.13
310,1.34,-1.96,12.65,2.69,-92.77,-68.79
320,0.96,-1.96,13.65,5.43,-84.23,-87.59
330,-0.42,-2.21,14.84,16.66,-76.11,-96.07
340,-1.09,-2.40,15.34,23.19,-68.05,-101.93
350,-1.70,-2.66,15.71,28.93,-62.50,-105.59
360,-2.36,-2.87,15.94,33.45,-57.80,-107.06
370,-2.77,-3.10,16.29,36.80,-51.15,-106.14
380,-3.16,-4.06,16.80,38.02,-34.48,-104.43
390,-3.38,-4.35,17.34,36.38,-19.96,-107.97
400,-3.65,-4.69,17.67,37.48,-4.46,-112.30
410,-4.00,-5.13,17.36,42.97,10.74,-116.52
420,-4.40,-5.54,16.91,49.62,25.21,-120.36
430,-4.84,-6.32,15.88,59.08,44.62,-122.99
440,-5.69,-6.69,15.09,62.87,54.38,-119.81
450,-5.81,-6.85,14.27,63.11,64.45,-113.34
460,-5.58,-6.89,13.55,59.20,74.83,-105.96
470,-4.99,-6.92,13.04,52.12,85.63,-98.75
