timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.56,-1.24,15.47,-39.25,212.40,-131.04
10,3.11,-1.65,14.43,-47.30,250.06,-120.12
20,3.24,-1.42,13.65,-53.83,276.00,-111.45
30,3.72,-0.43,13.14,-60.73,295.53,-105.65
40,4.23,-0.15,12.60,-57.19,339.05,-110.47
50,4.31,-0.01,10.53,-50.78,355.47,-116.33
60,4.32,-0.24,8.61,-40.89,362.55,-119.08
70,4.30,-0.61,6.50,-32.84,356.32,-117.25
80,4.71,-1.09,4.87,-27.65,339.72,-108.52
90,5.18,-1.44,3.28,-21.79,289.06,-76.48
100,5.92,-1.59,0.51,-25.45,263.61,-58.96
110,6.00,-1.48,-0.51,-34.06,241.64,-45.04
120,4.88,-1.25,-0.53,-47.36,220.03,-34.79
130,7.11,-1.25,-0.71,-57.01,205.32,-25.57
140,5.71,-1.31,-2.31,-61.95,183.90,-1.10
150,5.62,-0.96,-2.55,-66.89,152.65,-6.53
160,5.74,-0.58,-2.71,-63.90,137.63,-2.01
170,5.68,-0.93,-3.01,-57.19,118.84,-0.43
180,5.44,-0.69,-3.21,-47.67,98.08,0.79
190,5.32,-0.56,-3.59,-38.94,76.35,3.48
200,5.42,-0.51,-3.83,-32.84,30.09,8.00
210,5.27,-0.44,-3.73,-31.62,8.61,8.12
220,5.08,-0.39,-3.61,-27.59,-11.17,8.73
230,4.91,-0.35,-3.49,-21.85,-31.07,10.19
240,4.71,-0.21,-3.01,-15.44,-50.66,12.21
250,4.85,-0.33,-2.66,-0.67,-89.05,20.26
260,5.19,-0.48,-1.59,1.04,-107.79,24.29
270,5.18,-0.34,-0.83,4.88,-125.12,27.71
280,5.13,-0.36,-0.19,11.41,-141.72,31.86
290,4.91,-0.40,0.37,18.43,-158.08,37.11
300,4.72,-0.38,0.89,25.15,-186.52,49.07
310,4.73,-0.58,1.41,40.65,-201.17,55.54
320,4.44,-0.62,1.67,46.69,-220.34,62.81
330,4.16,-0.52,1.99,50.72,-243.84,71.66
340,3.80,-0.62,2.45,56.21,-270.26,82.28
350,3.35,-0.68,3.38,62.38,-299.32,92.65
360,1.81,-0.29,5.53,75.01,-357.48,108.46
370,0.98,0.22,6.45,83.68,-376.95,117.19
380,0.29,0.02,8.83,95.09,-383.06,126.95
390,0.28,0.89,10.22,102.17,-388.85,133.24
400,1.20,1.69,12.14,112.55,-394.59,137.57
410,1.47,1.68,13.39,149.60,-396.42,128.91
420,1.79,0.96,14.09,163.70,-374.51,119.20
430,1.54,0.48,14.51,173.89,-340.27,111.02
440,0.89,1.00,15.30,174.56,-304.93,105.35
450,0.95,2.41,16.42,167.05,-276.92,102.36
460,1.76,3.33,17.37,163.09,-240.17,86.73
470,2.49,3.31,19.03,164.79,-216.49,65.80
480,2.26,2.99,19.80,165.16,-186.34,41.44
490,1.92,2.31,20.15,165.41,-153.87,20.32
500,1.49,1.53,20.23,162.96,-123.47,4.58
510,1.19,0.88,20.25,156.31,-96.56,-11.60
520,1.00,-0.09,20.02,134.03,-51.33,-15.44
530,1.05,-0.63,19.73,118.35,-29.60,-19.17
540,1.05,-1.22,19.55,97.84,-5.98,-24.78
550,0.98,-1.88,19.42,72.81,19.96,-32.59
560,0.76,-2.57,19.03,45.23,47.91,-40.89
570,-0.24,-3.73,18.59,-14.89,105.41,-55.79
580,-0.34,-4.10,18.50,-41.44,132.14,-60.42
590,-0.65,-4.28,18.58,-63.23,156.43,-61.28
600,-0.56,-4.30,18.50,-78.55,180.30,-58.65
