timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-10.36,-3.51,18.96,41.08,-76.54,-4.94
10,-8.28,-3.16,16.53,17.03,-58.72,-7.02
20,-1.53,-5.37,15.14,11.29,-115.05,1.89
30,-0.44,-4.80,15.55,-6.29,-199.04,31.49
40,-0.17,-3.92,21.12,-10.74,-166.32,44.86
50,-0.52,-2.35,19.91,21.42,-27.65,25.51
60,-2.12,-3.02,16.63,22.58,-6.23,6.53
70,-2.07,-4.42,16.21,5.31,4.21,-6.90
80,-2.12,-4.27,16.40,-17.70,10.86,-19.71
90,-1.65,-4.37,19.44,-48.52,53.28,-22.34
100,-2.56,-3.36,16.37,-81.67,125.73,-40.71
110,-0.92,-2.10,15.17,-95.03,129.27,-35.03
120,0.01,-1.25,15.57,-98.08,125.00,-27.59
130,0.62,-0.64,15.89,-86.30,123.35,-19.96
140,1.09,-0.18,15.58,-62.93,124.45,-12.88
150,1.73,-0.45,14.57,-33.26,109.74,-0.73
160,2.04,-1.05,12.55,14.89,107.67,5.37
170,2.78,-1.73,11.62,30.52,104.43,12.15
180,2.21,-2.43,12.10,37.48,94.30,19.17
190,3.46,-2.92,11.10,41.99,90.64,23.62
200,3.65,-3.86,11.43,48.22,89.11,30.70
210,3.93,-5.33,12.04,47.24,84.11,40.41
220,3.00,-5.96,12.16,41.32,87.10,41.02
230,1.93,-6.12,12.52,30.64,94.79,42.05
240,0.62,-5.60,13.22,17.58,104.80,44.13
250,-0.39,-4.54,14.58,6.53,116.58,46.63
260,-1.19,-3.44,15.80,3.60,140.81,53.47
270,-2.24,-1.15,16.22,6.53,152.34,58.65
280,-2.07,0.10,15.72,8.42,162.78,64.88
290,-1.48,0.94,15.14,10.74,169.98,69.76
300,-0.79,1.45,14.41,12.21,172.85,70.43
310,-0.39,1.60,13.40,30.70,180.30,55.48
320,-0.75,1.53,10.99,23.68,186.65,42.66
330,-1.10,1.19,9.64,26.43,192.87,31.74
340,-1.56,0.59,8.24,27.95,199.16,24.41
350,-2.00,0.02,6.95,28.14,205.63,20.02
360,-2.58,-0.94,5.11,27.71,210.69,19.41
370,-3.30,-1.60,1.36,16.97,219.60,29.42
380,-3.57,-1.70,-0.23,4.94,209.17,41.26
390,-3.50,-1.69,-0.90,-9.89,186.28,55.73
400,-3.17,-1.61,-1.06,-21.30,157.10,71.17
410,-2.86,-1.42,-1.19,-25.51,132.08,86.00
420,-2.59,-0.90,-2.05,-15.75,101.50,111.76
430,-2.50,-0.07,-2.70,-10.56,85.27,123.60
440,-2.37,0.48,-3.15,-7.57,67.08,137.02
450,-2.17,0.83,-3.67,-7.08,44.92,150.63
460,-1.75,1.08,-3.95,-7.57,25.21,162.35
470,-1.36,1.87,-4.02,-8.18,-6.10,172.30
480,-0.87,2.77,-3.36,-4.64,-17.33,172.79
490,-0.95,3.17,-3.14,1.10,-30.46,172.06
500,-1.05,3.79,-3.10,7.08,-46.51,171.51
510,-0.92,4.49,-2.81,10.80,-64.21,172.00
520,-0.68,4.95,-2.41,13.24,-100.77,171.20
530,-0.54,6.38,-1.18,15.01,-114.56,169.25
540,-0.24,7.18,-0.41,15.63,-125.06,167.91
550,0.23,7.99,0.15,16.72,-133.54,165.83
560,0.77,8.88,0.77,18.92,-140.44,161.44
570,1.38,9.69,1.53,22.09,-148.19,154.91
580,2.45,10.76,3.05,31.43,-166.02,131.04
590,2.84,11.38,3.93,36.25,-172.79,114.81
600,3.06,11.76,4.73,41.32,-176.82,98.27
610,2.88,12.06,5.16,45.17,-181.88,80.81
620,2.53,12.31,5.80,46.39,-186.77,63.29
630,2.16,12.28,7.84,41.93,-190.61,33.14
640,0.66,12.42,9.36,38.02,-190.98,17.88
650,-0.41,12.77,10.94,35.28,-193.18,4.15
660,-1.06,13.05,12.63,34.91,-195.86,-6.53
670,-1.13,13.23,14.21,37.78,-196.53,-15.75
680,-0.90,13.23,15.30,48.28,-183.23,-38.21
690,-0.57,13.19,16.15,51.03,-172.06,-52.80
700,-0.51,13.17,16.45,49.44,-161.44,-68.54
710,-0.36,13.00,16.96,44.19,-151.98,-83.80
720,-0.39,12.82,17.55,37.41,-144.53,-98.08
730,-0.41,12.69,18.29,31.37,-136.54,-128.05
740,-0.43,11.92,19.52,26.98,-106.51,-146.24
750,-0.71,11.49,20.18,27.22,-91.31,-163.82
760,-1.01,10.79,20.87,28.93,-79.59,-177.31
770,-1.21,9.81,21.66,31.43,-67.99,-187.44
780,-1.45,8.61,22.12,36.25,-54.63,-196.72
790,-1.74,6.10,22.17,38.70,-20.39,-211.73
800,-2.44,5.28,22.37,32.10,-0.98,-217.29
810,-2.62,4.71,22.82,23.93,19.65,-221.50
820,-2.63,4.09,22.94,17.76,41.32,-226.68
830,-2.77,3.17,22.43,14.16,63.48,-234.86
840,-3.17,2.18,21.70,6.16,109.44,-255.13
850,-4.15,0.38,19.91,4.39,132.32,-260.44
860,-4.43,-0.28,18.83,5.25,153.63,-260.07
870,-4.53,-0.84,17.54,9.09,171.75,-254.76
880,-4.49,-1.43,16.09,16.54,185.91,-244.75
890,-4.41,-2.04,14.55,26.12,201.66,-215.52
900,-4.21,-2.64,11.13,43.21,205.44,-196.90
910,-3.73,-2.76,9.56,48.65,206.36,-175.90
920,-3.06,-2.83,7.92,52.06,202.88,-156.13
930,-2.47,-2.34,6.31,54.26,194.76,-139.47
940,-1.68,-3.22,3.99,52.43,181.03,-122.68
950,-0.16,-2.56,2.27,31.80,152.53,-105.90
960,0.31,-2.57,1.71,20.14,132.87,-99.18
970,0.82,-2.81,1.23,12.76,112.67,-93.69
980,1.17,-2.71,1.36,7.81,96.01,-90.09
990,1.32,-3.54,0.93,6.59,84.29,-86.24
