timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.39,-1.99,9.91,-69.40,-8.54,-25.88
10,-1.22,-1.41,8.26,-78.98,-16.48,-21.55
20,-0.39,-1.85,8.92,-83.92,-23.56,-15.38
30,0.08,-0.82,9.66,-84.84,-26.55,-5.62
40,0.64,-0.19,10.41,-70.43,-21.61,3.54
50,0.72,0.09,10.67,-20.02,-11.17,6.53
60,1.02,0.40,10.37,1.83,-7.32,4.88
70,1.29,0.34,10.02,19.78,-4.70,1.65
80,1.35,0.07,9.82,30.76,-3.17,-3.36
90,1.27,-0.09,9.98,33.33,0.12,-9.09
100,1.31,-0.17,10.57,27.89,4.39,-18.68
110,1.80,-0.50,12.30,16.60,12.33,-21.55
120,1.85,-0.76,13.17,16.78,14.40,-21.91
130,1.71,-1.08,14.07,18.55,17.15,-18.86
140,1.98,-0.45,15.14,21.00,22.46,-14.77
150,2.45,-0.04,16.42,23.44,29.91,-9.70
160,0.96,1.27,18.16,30.82,46.08,-10.07
170,2.97,0.66,17.45,38.21,66.59,-14.34
180,2.47,0.53,17.15,33.94,79.16,-15.01
190,2.01,0.05,16.77,29.72,89.97,-24.60
200,1.74,-0.41,16.75,22.77,101.81,-32.29
210,1.50,-1.09,16.59,1.16,120.30,-40.41
220,1.31,-2.23,16.82,-10.56,132.02,-43.58
230,0.65,-2.36,16.72,-16.05,144.78,-46.69
240,-0.17,-2.59,16.17,-15.20,156.19,-49.19
250,-0.83,-2.90,15.37,-11.90,165.04,-50.11
260,-1.31,-3.38,14.45,-7.51,173.83,-45.17
270,-1.82,-3.98,12.42,-2.50,176.45,-39.25
280,-1.90,-4.12,11.55,0.43,177.98,-31.86
290,-2.02,-4.10,10.50,5.00,177.25,-23.80
300,-2.17,-4.08,9.35,9.83,175.23,-15.75
310,-2.31,-4.10,8.27,14.16,171.63,-7.81
320,-2.52,-4.21,6.23,17.03,161.62,8.00
330,-2.55,-4.28,5.31,15.08,157.78,17.40
340,-2.63,-4.25,4.42,11.78,153.87,27.10
350,-2.78,-4.16,3.43,6.77,149.23,37.23
360,-2.86,-4.28,2.50,2.14,143.31,48.65
370,-2.70,-4.27,1.57,4.58,124.51,68.85
380,-3.11,-4.13,1.25,4.76,106.57,83.19
390,-3.35,-3.95,0.81,6.90,85.69,101.07
400,-3.37,-3.36,0.42,13.55,68.97,117.74
410,-3.27,-2.64,-0.00,20.14,53.34,134.64
420,-3.01,-1.85,-0.54,19.47,16.78,168.88
430,-2.32,0.41,-0.73,12.76,-0.55,182.13
440,-2.08,1.86,-0.49,6.23,-15.99,192.02
450,-1.45,3.53,0.05,0.79,-31.01,197.57
460,-0.60,5.48,0.35,-5.25,-48.89,199.40
470,0.31,7.07,1.11,-5.92,-63.05,187.87
480,2.19,10.13,2.64,3.11,-78.19,172.49
490,3.00,11.38,2.90,9.95,-83.13,154.60
500,3.55,12.14,3.22,18.86,-86.24,134.64
510,3.94,13.02,3.75,25.51,-89.17,113.28
520,4.42,13.68,4.29,26.67,-93.57,91.00
530,5.45,14.67,5.74,18.86,-96.80,50.90
540,6.26,15.44,7.13,11.60,-98.75,31.74
550,6.84,16.09,8.31,6.41,-105.65,13.18
560,7.38,15.86,9.42,7.08,-113.16,-6.41
570,7.73,14.97,10.53,14.16,-114.69,-31.62
580,7.59,13.77,11.70,31.31,-100.34,-90.52
590,6.03,10.66,13.89,38.82,-90.94,-116.03
600,4.91,8.78,14.82,46.02,-83.74,-137.70
610,3.75,6.63,15.83,49.62,-77.88,-156.19
