timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.21,1.63,7.94,-9.83,-77.82,-320.62
10,4.32,2.07,6.59,-10.56,-53.10,-290.65
20,4.97,3.53,5.86,4.88,-35.10,-262.02
30,4.14,3.70,5.64,62.87,-19.41,-211.43
40,4.17,3.53,6.74,74.83,-19.04,-198.12
50,4.32,3.49,6.90,70.56,-26.67,-186.10
60,4.04,3.12,6.97,55.05,-40.16,-172.49
70,4.01,3.02,7.11,34.97,-55.54,-161.32
80,4.05,3.02,7.14,15.01,-66.53,-146.55
90,4.27,3.16,6.90,-5.80,-55.24,-140.26
100,4.21,3.09,6.62,-4.33,-38.94,-133.00
110,4.36,2.70,6.58,0.24,-27.10,-124.33
120,4.29,2.36,6.96,2.87,-24.05,-112.85
130,4.21,2.15,7.42,2.01,-27.95,-99.00
140,3.01,1.28,7.57,-3.66,-40.34,-72.51
150,3.25,1.30,8.00,-8.30,-32.04,-65.92
160,2.70,2.03,9.12,-5.25,-26.98,-60.55
170,2.15,1.10,8.52,-0.55,-24.17,-53.34
180,2.98,1.37,8.43,-11.54,-13.06,-47.79
190,3.03,2.26,8.10,-19.41,-11.23,-43.15
200,3.24,3.54,7.34,-21.91,-12.51,-40.77
210,3.04,4.04,6.95,-23.07,-14.83,-40.53
220,2.80,4.43,6.79,-21.91,-18.13,-41.99
230,2.61,4.73,6.76,-19.47,-22.46,-44.80
240,2.32,4.89,6.75,-1.10,-33.51,-52.86
250,1.65,5.25,6.86,-15.32,-39.12,-58.04
260,1.20,5.44,6.88,-14.34,-44.92,-65.19
270,0.75,5.47,6.97,-10.01,-51.70,-73.85
280,0.30,5.61,7.04,-2.93,-58.72,-84.66
290,-0.20,5.68,7.20,7.08,-64.58,-112.98
300,-1.10,5.02,8.05,38.88,-75.50,-130.07
310,-1.25,4.51,8.57,55.54,-80.32,-148.07
320,-1.21,3.89,9.03,66.77,-83.01,-164.67
330,-1.25,3.47,9.59,71.90,-82.82,-178.71
340,-1.50,2.89,10.12,71.04,-81.67,-189.82
350,-1.86,1.92,10.63,54.32,-78.12,-216.19
360,-1.45,1.71,10.80,38.64,-72.02,-228.76
370,-1.50,1.32,10.78,22.46,-66.96,-237.79
380,-2.12,0.51,10.75,10.25,-64.27,-242.43
390,-2.69,-0.32,10.60,4.82,-62.81,-246.46
400,-3.27,-0.86,10.60,15.32,-60.30,-256.04
410,-3.90,-2.31,11.14,28.20,-59.51,-259.46
