timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,4.62,-4.10,7.65,-40.71,-3.60,-42.30
10,4.80,-4.05,6.90,-31.98,1.34,-34.55
20,5.12,-4.65,6.94,-23.93,1.34,-26.31
30,4.74,-4.50,6.56,-20.26,-2.87,-20.51
40,4.73,-4.51,6.56,-5.80,-6.53,-8.54
50,4.74,-4.79,6.61,3.05,-8.48,-5.43
60,4.41,-4.90,6.42,10.62,-9.52,-3.72
70,4.12,-5.14,6.14,16.66,-10.56,-1.28
80,3.99,-5.34,5.85,19.59,-11.54,3.05
90,3.87,-5.38,5.64,20.14,-12.21,11.23
100,3.86,-5.21,5.70,28.32,-21.12,14.10
110,3.73,-5.36,5.66,39.18,-30.82,16.11
120,3.63,-5.71,5.60,53.53,-39.31,19.17
130,3.47,-6.21,5.23,70.07,-46.63,24.29
140,2.74,-6.31,4.86,84.72,-54.99,31.98
150,2.58,-6.70,4.76,112.85,-72.81,53.04
160,1.63,-5.51,3.72,127.81,-86.36,65.25
170,2.18,-7.17,5.03,145.81,-101.68,76.54
180,1.66,-6.50,4.39,156.62,-110.66,90.70
190,1.23,-5.98,4.68,164.73,-119.32,99.98
200,0.99,-5.60,4.36,160.52,-137.70,112.43
210,0.77,-5.32,5.49,152.65,-141.11,116.09
220,0.50,-5.02,6.47,150.94,-138.67,118.04
230,-0.19,-4.55,6.96,159.06,-134.58,120.24
240,-0.75,-4.19,7.00,171.81,-133.12,124.69
250,-1.01,-3.91,6.68,184.57,-142.82,137.39
260,-0.64,-3.59,6.19,196.72,-152.71,143.07
270,-1.07,-2.08,6.60,195.98,-162.11,146.30
280,-0.78,-1.78,7.15,193.48,-169.56,148.01
290,-0.21,-0.88,7.81,184.75,-181.52,149.29
300,0.11,0.12,8.65,168.88,-194.09,145.87
310,0.61,1.46,10.33,146.91,-205.57,128.78
320,0.84,1.72,10.79,138.98,-206.42,114.26
330,0.92,1.86,11.37,130.98,-202.09,95.46
340,1.36,1.83,12.10,121.15,-194.27,73.97
350,1.32,2.02,12.78,112.30,-185.67,49.19
360,0.97,1.66,13.64,94.54,-167.18,5.80
370,0.65,1.82,13.77,79.16,-157.59,-9.09
380,0.70,1.78,13.98,59.02,-148.01,-22.95
390,0.71,1.97,14.66,37.11,-140.62,-38.27
400,0.29,2.27,14.84,18.74,-137.88,-54.69
410,0.48,1.66,16.05,13.79,-122.86,-85.14
420,-0.61,2.16,15.78,20.94,-124.27,-100.65
430,-0.35,1.28,16.47,35.95,-115.97,-111.02
440,-0.25,0.50,17.18,52.98,-104.86,-119.87
450,-0.54,-0.15,17.47,70.68,-95.95,-129.88
460,-0.87,-1.01,17.89,88.81,-67.69,-145.14
470,-1.68,-2.94,17.82,113.46,-60.30,-150.70
480,-2.12,-3.98,17.82,115.72,-45.23,-156.19
490,-2.48,-5.27,17.56,111.69,-26.67,-162.05
500,-2.71,-6.77,17.47,101.68,-3.60,-167.48
510,-3.15,-8.12,17.38,86.91,23.13,-172.97
520,-3.92,-10.24,15.95,53.22,77.64,-179.02
530,-3.96,-10.81,15.70,34.06,97.41,-177.43
540,-3.97,-11.35,15.60,19.96,113.59,-173.03
550,-4.38,-11.68,14.97,14.16,128.17,-165.71
560,-4.40,-12.10,13.90,11.05,141.66,-154.54
570,-4.14,-12.34,12.83,-3.05,161.01,-125.43
580,-3.79,-12.13,10.29,-14.10,168.15,-111.39
590,-3.28,-12.22,9.21,-30.27,173.83,-98.51
600,-2.63,-12.54,8.54,-48.77,175.35,-87.77
610,-2.41,-13.15,7.89,-60.79,174.87,-79.83
620,-2.20,-13.90,7.22,-49.01,172.24,-63.17
630,-2.07,-15.46,5.55,-52.73,165.95,-53.96
640,-2.32,-16.19,5.00,-41.99,155.33,-43.88
650,-2.48,-16.94,4.22,-29.66,140.87,-29.72
660,-2.90,-17.67,3.79,-19.78,123.78,-10.80
670,-3.19,-17.85,3.65,-14.10,104.13,43.70
680,-2.57,-17.23,3.74,-13.61,72.39,74.89
690,-2.21,-16.34,3.98,-16.17,62.01,104.06
700,-1.93,-15.15,4.50,-19.53,52.12,128.42
710,-1.55,-13.73,5.47,-21.91,43.52,147.46
720,-1.16,-12.43,6.27,-19.17,38.27,160.71
730,-0.94,-9.99,7.26,-10.56,37.66,177.00
740,-0.07,-8.94,7.58,-9.22,42.11,181.27
750,0.25,-7.92,7.68,-10.13,48.83,181.95
760,0.49,-6.97,7.95,-13.37,56.52,180.42
770,0.62,-6.00,8.40,-16.91,63.11,178.41
780,0.70,-5.08,8.87,-16.66,73.85,175.96
790,1.03,-3.70,9.31,-11.78,80.02,174.62
800,1.07,-3.07,9.20,-4.88,85.51,172.06
810,1.19,-2.51,8.87,3.36,89.11,168.52
820,1.11,-2.11,8.37,11.47,90.33,164.31
830,0.79,-1.81,7.91,18.37,91.25,151.92
840,0.03,-1.36,6.51,27.95,91.98,146.48
850,-0.35,-1.05,5.09,28.87,91.06,142.52
860,-0.46,-0.71,3.84,22.22,87.28,140.08
870,-0.28,-0.33,3.42,8.30,78.92,136.78
880,-0.03,0.02,3.72,-5.55,68.79,131.77
890,0.29,1.28,4.27,-9.22,55.36,120.85
900,0.73,1.84,3.79,-1.89,48.95,116.46
910,1.22,2.38,3.24,3.05,40.53,111.08
920,2.03,3.07,3.17,2.26,31.01,103.76
930,2.85,3.65,3.67,-0.12,21.42,93.75
940,3.57,4.13,4.68,5.37,7.39,67.20
950,4.45,4.09,5.00,12.27,2.14,53.28
960,4.75,3.62,5.02,16.36,-2.44,40.95
970,4.91,3.15,5.18,15.63,-5.31,30.52
980,4.96,2.71,5.52,11.84,-6.35,21.00
990,4.99,2.29,5.99,4.70,-4.76,5.19
