timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.17,-7.22,8.01,-24.90,-13.37,16.85
10,3.83,-7.64,6.70,-16.91,-9.28,26.92
20,3.84,-7.84,6.78,-14.47,-13.55,42.36
30,3.72,-7.60,6.80,-13.61,-15.63,54.93
40,4.00,-7.06,7.19,-8.73,-12.39,65.98
50,4.16,-6.78,7.06,9.28,-13.18,70.92
60,3.29,-7.12,6.50,15.99,-14.34,69.64
70,2.66,-7.91,6.03,18.01,-13.73,69.82
80,2.03,-8.50,5.79,13.98,-10.99,73.49
90,1.51,-8.85,5.67,7.81,-7.63,80.81
100,0.90,-8.79,5.59,1.59,-6.16,103.39
110,0.38,-7.96,5.94,-5.25,-8.54,118.29
120,0.11,-7.23,5.96,-1.40,-13.79,133.73
130,0.31,-6.41,5.77,6.35,-21.06,150.51
140,-0.22,-5.12,5.64,15.26,-30.58,166.56
150,-0.32,-3.52,5.54,22.77,-40.28,180.79
160,-0.75,-0.38,5.56,39.12,-61.16,200.07
170,-0.07,0.34,5.74,46.57,-61.77,207.70
180,0.45,0.62,5.56,51.33,-67.02,212.89
190,0.35,0.84,5.46,54.63,-75.38,211.55
200,-0.14,1.12,5.42,56.03,-82.46,208.68
210,-0.51,1.38,5.68,53.71,-92.71,209.96
220,-0.64,2.72,6.67,51.33,-96.19,214.36
230,-0.57,4.19,7.44,50.60,-99.55,219.12
240,-0.52,5.67,7.78,54.14,-107.67,221.98
250,-0.29,7.05,8.00,59.14,-120.12,221.98
260,0.31,8.12,8.41,62.74,-138.18,212.04
270,1.50,8.70,9.06,73.06,-141.36,196.84
280,1.66,8.60,8.98,78.12,-142.52,175.54
290,1.54,8.51,8.83,78.92,-143.07,153.08
300,1.34,8.35,8.77,77.27,-141.42,132.75
310,1.19,8.26,8.92,73.06,-138.85,114.56
320,1.32,8.31,9.48,56.88,-137.02,83.86
330,1.37,8.62,9.96,46.81,-135.68,70.13
340,1.52,8.94,10.69,36.44,-133.36,57.13
350,1.95,9.16,11.49,27.89,-130.62,44.80
360,2.44,9.38,12.25,22.95,-127.38,31.74
370,2.67,9.54,14.06,20.81,-137.39,-3.23
380,1.71,10.68,13.76,28.20,-142.40,-17.88
390,2.06,9.67,14.42,38.15,-127.01,-27.47
400,2.48,9.02,14.98,40.95,-110.60,-40.59
410,2.25,9.02,14.72,39.67,-100.16,-59.88
420,1.93,8.60,14.28,34.24,-72.33,-91.31
430,1.86,7.24,15.24,29.11,-70.43,-105.22
440,1.56,6.29,15.27,27.04,-68.54,-117.31
450,1.30,5.45,15.38,23.93,-62.38,-127.56
460,1.04,4.52,15.69,18.86,-55.18,-138.00
470,0.60,3.83,15.79,10.86,-48.77,-155.46
480,0.17,2.25,16.24,-1.71,-29.17,-161.01
490,0.09,1.63,16.72,-4.58,-18.62,-166.02
500,0.02,1.05,16.94,-3.72,-8.42,-169.86
510,-0.03,0.42,16.95,0.67,0.18,-172.67
520,-0.16,-0.33,16.71,4.70,8.36,-173.95
530,0.29,-2.22,16.75,6.71,27.95,-170.10
