timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.47,0.12,2.26,42.85,-38.02,-62.26
10,2.99,0.37,2.07,48.22,-57.37,-49.80
20,2.77,-0.01,2.85,59.20,-70.25,-42.24
30,2.62,0.23,3.10,64.70,-85.33,-38.94
40,2.56,0.32,3.34,77.15,-97.78,-41.87
50,2.45,0.38,3.66,81.36,-99.61,-48.10
60,2.23,0.48,3.49,86.91,-99.43,-56.15
70,2.08,0.41,3.56,89.17,-100.46,-64.64
80,2.00,0.24,4.07,87.65,-104.31,-73.49
90,1.43,-0.21,5.62,87.83,-108.09,-92.53
100,0.92,-0.24,6.26,89.54,-107.42,-101.07
110,0.62,-0.27,6.87,90.94,-105.10,-109.07
120,0.28,-0.21,7.60,91.43,-102.54,-117.19
130,-0.10,-0.28,7.97,91.67,-99.49,-126.71
140,-0.82,-0.47,8.06,84.72,-89.90,-148.25
150,-1.25,-2.37,8.26,69.58,-78.61,-154.48
160,-1.90,-2.18,9.20,48.52,-65.73,-158.33
170,-1.84,-2.97,9.77,29.91,-47.91,-162.05
180,-2.03,-3.14,10.30,13.98,-31.80,-164.06
190,-1.87,-3.79,10.64,-2.01,-0.79,-164.31
200,-1.79,-4.56,10.62,-28.87,11.11,-164.98
210,-2.05,-4.88,10.96,-44.86,19.84,-162.96
220,-2.00,-5.05,11.74,-61.46,25.15,-157.10
230,-1.77,-5.07,13.04,-74.83,27.34,-147.03
240,-1.32,-4.83,14.30,-79.16,27.59,-119.02
250,-0.38,-5.28,14.66,-55.91,20.02,-109.37
260,0.15,-5.70,14.76,-47.61,10.25,-98.08
270,0.53,-5.88,15.47,-45.17,1.71,-89.42
280,0.48,-5.88,16.02,-43.21,-2.56,-82.28
290,0.21,-5.97,16.28,-42.42,-3.42,-76.84
300,-0.22,-6.51,16.06,-52.61,11.05,-68.85
310,-1.00,-7.04,15.72,-70.50,27.89,-66.35
320,-1.12,-7.27,15.76,-102.72,51.76,-64.70
330,-1.16,-6.87,16.31,-139.40,82.34,-64.03
340,-1.23,-5.94,17.01,-167.79,113.34,-62.74
350,-1.16,-5.06,17.24,-178.10,146.36,-53.65
360,-0.19,-3.96,17.58,-165.77,144.90,-49.19
370,0.11,-3.67,17.17,-144.96,134.83,-48.28
380,0.13,-3.80,16.26,-118.47,122.86,-50.48
390,-0.03,-4.16,15.21,-92.96,112.37,-53.59
400,-0.34,-4.53,14.18,-70.92,103.45,-57.92
410,-1.04,-5.62,11.55,-40.59,105.59,-58.23
420,-1.39,-6.16,10.30,-39.73,110.84,-56.76
430,-1.60,-6.25,9.49,-48.52,117.43,-52.92
440,-1.56,-6.11,9.24,-58.90,122.25,-46.88
450,-1.48,-5.88,9.12,-65.00,122.86,-39.37
460,-1.32,-5.67,8.61,-58.41,114.20,-21.48
470,-1.16,-5.53,8.12,-48.52,108.46,-11.35
480,-0.94,-5.54,7.49,-37.78,101.87,-0.43
490,-0.61,-5.45,6.83,-27.16,95.64,9.70
500,-0.30,-5.44,6.27,-19.47,87.16,19.04
510,-0.06,-5.44,5.01,-7.93,72.94,31.56
520,0.17,-5.19,4.71,-4.52,68.18,36.62
530,0.18,-4.92,4.58,-2.87,62.38,41.69
540,0.12,-4.62,4.35,-0.67,55.73,47.42
550,0.20,-4.39,4.04,2.75,49.01,54.50
560,0.28,-4.15,3.64,6.04,34.61,70.92
570,0.44,-3.56,3.03,5.62,26.37,78.74
580,0.41,-3.22,2.94,4.46,17.58,86.36
590,0.45,-2.92,2.93,3.05,9.22,94.30
600,0.51,-2.66,2.68,2.20,1.53,101.87
610,0.56,-2.39,2.38,0.24,-4.21,114.01
620,0.52,-1.75,2.25,-9.28,-17.76,118.84
630,0.52,-1.38,2.39,-15.93,-27.34,123.54
640,0.50,-0.82,2.57,-23.68,-35.40,129.33
650,0.50,-0.18,2.80,-29.60,-40.89,135.44
660,0.41,0.45,3.13,-35.03,-47.55,142.52
670,0.53,1.22,4.72,-46.51,-65.43,155.27
680,0.94,2.83,5.84,-50.84,-74.65,155.46
690,1.05,3.62,7.50,-47.67,-79.35,157.23
700,1.48,3.75,8.89,-35.16,-83.19,158.81
710,1.64,3.98,9.65,-17.82,-89.72,153.26
720,1.69,4.38,10.11,7.87,-91.06,136.54
730,1.44,4.64,10.90,10.44,-87.83,127.87
740,1.23,4.89,11.46,5.37,-84.96,119.75
750,1.18,5.12,12.00,-1.46,-79.16,111.82
760,1.23,5.46,12.36,-8.42,-69.09,102.97
770,1.32,5.98,12.82,-15.50,-49.99,85.63
780,1.68,7.31,14.33,-22.22,-43.27,78.06
790,1.92,7.71,14.63,-16.30,-37.48,71.04
800,2.08,7.77,14.47,-6.59,-32.17,64.15
810,2.23,7.87,14.08,3.30,-27.04,57.19
820,2.40,7.84,13.58,9.64,-22.34,51.03
830,2.71,7.40,12.73,14.16,-15.87,38.09
840,2.62,7.18,12.47,13.12,-12.27,30.33
850,2.53,6.95,12.10,11.29,-8.12,22.77
860,2.43,6.67,11.67,9.46,-3.85,15.93
870,2.32,6.29,11.31,7.63,0.12,9.64
880,2.23,6.05,10.85,3.54,4.94,0.49
890,2.07,5.40,10.72,3.11,5.68,-2.50
900,1.96,5.07,10.59,4.09,5.43,-4.76
910,1.83,4.74,10.40,6.10,5.19,-6.35
920,1.71,4.35,10.17,7.81,5.13,-7.75
930,1.50,3.96,9.97,9.77,6.84,-10.74
940,1.14,3.28,9.55,8.67,7.45,-11.17
950,0.99,2.99,9.37,7.51,7.75,-11.29
960,0.90,2.76,9.30,5.68,8.30,-10.74
970,0.83,2.55,9.24,3.85,8.30,-9.46
980,0.78,2.44,9.22,1.77,8.30,-6.10
990,0.87,2.39,9.14,0.06,9.58,-4.64
