timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,4.14,-2.78,7.73,-18.37,9.70,22.89
10,4.68,-2.50,7.50,-10.50,14.59,24.96
20,5.43,-3.40,7.75,-5.62,14.53,27.34
30,5.40,-3.22,8.13,-11.23,3.42,17.94
40,4.58,-3.09,8.30,-11.60,4.15,14.04
50,4.63,-3.35,8.54,-9.22,8.06,12.88
60,4.56,-3.57,8.47,-3.23,11.60,11.41
70,4.32,-3.88,8.31,5.00,13.24,9.40
80,4.00,-4.61,7.83,18.49,13.85,7.81
90,2.97,-6.54,6.35,15.93,16.91,9.77
100,2.55,-7.36,5.73,7.26,23.32,13.92
110,2.07,-8.01,5.30,-6.71,30.64,20.08
120,1.87,-8.29,5.37,-23.44,36.93,27.83
130,1.79,-8.29,5.73,-36.80,41.38,44.56
140,1.77,-8.22,6.15,-40.65,37.05,54.32
150,1.64,-8.28,5.54,-34.97,27.40,65.31
160,4.15,-7.40,4.21,-32.10,15.63,77.88
170,0.76,-7.89,5.23,-35.03,-6.53,88.87
180,0.50,-5.67,5.16,-35.58,-7.69,97.53
190,1.62,-4.97,5.38,-21.48,-14.10,128.97
200,1.83,-4.28,5.60,-17.70,-19.90,138.67
210,1.69,-3.29,5.82,-15.14,-21.97,144.84
220,1.47,-2.53,5.93,-14.22,-24.11,151.37
230,1.41,-1.90,5.94,-13.55,-26.61,158.14
240,1.63,-1.40,5.48,-5.62,-32.23,167.24
250,1.52,-0.33,4.82,1.04,-38.02,168.88
260,0.97,-0.02,4.17,3.42,-47.55,171.57
270,0.84,0.78,4.10,-0.79,-60.12,173.10
280,1.09,1.92,4.72,-9.46,-73.67,175.05
290,1.46,3.06,5.64,-6.90,-92.96,173.22
300,1.66,4.54,6.43,0.73,-101.62,168.46
310,1.78,5.06,6.44,8.06,-109.56,162.05
320,1.92,5.34,6.36,17.27,-115.42,154.85
330,2.02,5.50,6.07,27.53,-120.67,146.18
340,1.83,5.78,5.77,35.95,-125.61,125.06
350,1.45,6.88,6.24,32.78,-138.12,115.42
360,1.40,7.55,7.07,26.06,-144.04,106.38
370,1.56,8.26,8.19,19.35,-149.05,97.78
380,1.56,8.88,9.02,13.12,-155.40,89.23
390,1.68,9.41,9.88,9.09,-159.91,81.30
400,2.24,10.33,11.70,12.88,-164.25,60.42
410,2.46,10.98,12.83,22.64,-167.05,42.97
420,1.82,10.79,13.36,37.17,-180.11,24.60
430,1.23,11.09,13.39,51.27,-192.20,5.07
440,0.43,10.37,12.90,64.39,-199.28,-8.97
450,0.98,9.12,14.33,81.30,-156.07,-42.79
460,1.10,7.78,15.92,79.28,-132.45,-63.54
470,0.65,7.39,16.46,71.96,-111.57,-81.91
480,0.36,6.85,16.84,64.45,-101.26,-96.56
490,0.20,5.86,17.40,60.97,-90.70,-107.67
500,-0.14,4.78,17.77,58.72,-67.99,-131.47
510,-0.64,2.42,19.21,56.15,-51.45,-143.31
520,-1.14,1.23,19.45,55.24,-34.91,-154.30
530,-1.62,0.00,19.38,53.77,-18.68,-161.99
540,-2.00,-1.27,19.20,50.05,-2.56,-165.71
550,-2.17,-2.47,19.12,44.49,13.24,-165.77
560,-2.44,-4.53,18.96,30.03,44.80,-156.19
570,-2.31,-5.27,18.86,21.12,61.89,-146.85
580,-2.06,-5.72,18.68,12.63,79.35,-135.74
590,-1.76,-5.98,18.24,5.68,94.36,-124.39
600,-1.44,-6.04,17.73,-0.24,106.45,-112.85
610,-0.94,-6.12,16.29,-5.62,120.24,-88.44
620,-0.33,-6.12,15.56,-7.69,124.15,-77.45
630,-0.30,-6.05,14.82,-9.58,129.46,-67.26
640,-0.20,-6.07,14.24,-11.72,135.68,-57.43
650,0.08,-6.17,13.91,-14.83,140.62,-47.36
660,0.39,-6.30,13.60,-17.09,148.56,-28.56
670,0.52,-6.46,13.15,-15.38,152.34,-21.18
680,0.36,-6.47,12.82,-12.88,154.97,-14.28
690,0.23,-6.58,12.31,-9.70,157.53,-7.20
700,0.10,-6.64,11.76,-7.45,160.89,-0.67
710,0.12,-6.62,11.20,-6.77,164.92,14.34
720,0.31,-6.63,9.91,-4.94,169.19,21.61
730,0.07,-6.45,9.33,-3.17,168.88,27.65
740,-0.19,-6.16,8.74,-0.98,167.24,34.42
750,-0.51,-5.80,8.11,2.01,163.88,42.48
760,-0.80,-5.29,7.44,4.58,159.73,52.43
770,-1.06,-3.85,6.12,6.65,151.43,74.04
780,-1.10,-3.20,5.36,6.90,147.22,84.17
790,-0.98,-2.42,4.58,7.45,143.13,92.96
800,-0.63,-1.69,3.85,8.18,139.10,100.71
810,0.06,-1.00,3.32,9.70,132.81,107.24
820,0.16,-0.45,2.51,11.41,113.04,114.81
830,0.89,1.66,1.78,8.24,105.04,118.35
840,1.48,2.87,1.56,7.75,96.68,118.84
850,1.73,3.74,1.07,10.25,86.55,115.30
860,1.82,4.64,0.64,11.41,75.81,109.86
870,2.04,5.52,0.42,9.16,54.69,101.38
880,3.06,6.97,1.07,1.59,44.68,97.96
890,3.61,7.64,1.53,0.98,33.63,92.71
900,4.37,8.14,2.23,3.05,22.83,85.51
910,5.04,8.35,3.15,7.20,11.54,76.42
920,5.51,8.17,3.94,13.49,2.01,48.95
930,5.99,7.03,5.16,23.13,-5.98,36.87
940,5.93,6.33,5.60,23.68,-6.16,23.38
950,5.69,5.66,6.03,21.55,-5.07,11.11
960,5.42,5.04,6.59,18.19,-2.87,2.08
970,5.22,4.49,7.07,15.75,-1.10,-3.78
980,5.22,3.25,7.72,15.63,-2.56,-5.86
990,5.57,2.88,7.75,17.27,-4.58,-4.27
