timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.94,3.95,6.70,45.84,-39.43,-12.70
10,2.14,4.86,7.42,23.19,-34.30,-11.05
20,2.32,4.44,7.52,-2.50,-28.87,-7.81
30,2.77,4.42,9.05,-18.43,-5.19,-4.88
40,2.68,4.65,10.87,-48.28,14.53,-1.10
50,2.57,5.01,11.50,-52.80,32.23,1.89
60,2.30,5.22,11.61,-55.24,50.23,2.87
70,2.15,5.48,11.08,-59.57,63.42,3.60
80,2.14,5.75,10.24,-68.42,69.21,5.00
90,2.26,6.15,9.61,-80.08,72.94,-0.49
100,2.96,6.32,9.66,-84.90,78.00,-6.29
110,2.54,6.91,9.00,-95.64,76.48,-10.13
120,1.24,7.10,8.91,-104.06,78.67,-15.01
130,4.76,7.60,8.94,-113.71,85.75,-20.69
140,4.66,8.21,9.65,-122.44,71.11,-32.96
150,4.59,6.70,12.66,-122.50,81.67,-43.52
160,4.63,6.38,14.03,-148.62,107.54,-48.65
170,4.84,6.32,14.64,-184.20,135.44,-51.09
180,3.16,6.55,12.57,-217.90,157.29,-56.95
190,4.09,6.36,11.96,-245.54,195.80,-60.67
200,5.16,7.81,8.74,-296.87,239.99,-63.66
210,6.24,7.97,8.59,-314.33,245.73,-71.90
220,4.40,7.44,6.76,-333.56,244.45,-81.36
230,4.39,6.80,6.15,-354.49,260.25,-88.81
240,4.85,6.14,5.57,-368.53,278.26,-88.99
250,4.99,5.96,3.38,-347.90,274.84,-89.54
260,4.75,5.52,1.79,-320.43,264.53,-90.64
270,3.88,5.25,0.13,-289.06,255.80,-96.31
280,4.33,4.39,-0.53,-259.03,258.30,-99.49
290,5.66,3.47,-0.83,-234.25,255.86,-96.56
300,3.58,2.83,-2.99,-187.44,222.47,-92.59
310,3.68,2.51,-5.77,-158.20,212.16,-90.21
320,5.18,1.94,-6.12,-135.25,195.25,-80.14
330,3.06,1.75,-7.58,-116.94,165.22,-71.11
340,2.05,1.79,-8.92,-92.35,135.19,-66.83
350,2.84,1.75,-9.27,-58.17,113.10,-61.71
360,2.84,2.15,-10.21,15.38,49.87,-64.58
370,2.71,2.64,-10.36,48.58,16.48,-70.86
380,2.36,2.76,-10.21,69.89,-8.61,-72.63
390,2.17,2.70,-9.84,76.29,-24.66,-67.75
