timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.97,1.71,11.58,1.89,-10.38,12.94
10,-0.72,0.65,10.68,3.66,-0.55,4.46
20,0.23,1.55,11.36,-0.18,3.66,-3.72
30,0.02,1.77,11.57,-5.00,4.15,-7.39
40,-0.01,1.42,12.02,-7.87,6.04,-5.37
50,-0.19,1.45,12.36,-7.39,5.00,-2.32
60,-0.45,2.31,12.69,6.59,11.05,2.69
70,-0.71,2.70,13.28,32.41,27.34,7.63
80,-0.68,2.71,14.12,61.52,53.47,8.54
90,-0.45,2.53,14.90,83.19,84.66,5.19
100,-0.46,2.30,15.25,92.04,128.48,-5.25
110,0.10,1.80,15.62,78.74,149.23,-11.17
120,0.37,1.42,15.74,63.48,153.93,-16.17
130,0.48,1.15,15.43,45.41,150.02,-20.20
140,0.41,1.12,14.57,27.89,142.40,-24.23
150,1.02,1.23,13.72,18.13,139.34,-28.02
160,1.98,1.85,11.77,48.28,147.89,-35.52
170,2.37,1.82,11.03,76.29,163.15,-39.37
180,3.72,1.93,12.16,99.12,177.00,-42.36
190,2.63,0.74,10.34,113.83,177.06,-42.36
200,2.98,0.58,9.94,120.00,189.09,-46.45
210,2.81,0.64,9.20,118.16,200.87,-61.58
220,3.25,0.28,7.68,119.45,202.82,-70.92
230,3.18,0.66,6.52,124.45,202.39,-81.12
240,3.21,1.46,5.56,134.46,203.19,-92.10
250,3.38,0.62,4.44,146.06,205.08,-100.52
260,2.92,0.43,3.84,169.25,201.66,-127.62
270,3.29,0.24,2.52,171.81,197.88,-138.06
280,3.36,0.15,2.27,174.68,190.80,-146.61
290,3.40,0.05,2.06,173.65,180.24,-155.03
300,3.28,-0.19,1.90,170.35,167.18,-163.45
310,3.06,-0.54,1.72,164.73,151.43,-172.18
320,3.07,-0.84,1.24,146.91,122.50,-192.38
330,3.16,-0.75,0.76,144.71,108.64,-203.12
340,2.94,-0.94,0.33,149.60,97.17,-212.77
350,2.55,-1.37,0.09,157.23,89.84,-220.83
360,1.99,-2.10,0.04,164.06,84.05,-227.97
370,1.61,-3.43,0.23,184.63,70.74,-250.18
380,1.25,-4.73,0.11,199.46,64.94,-261.72
390,0.98,-6.26,-0.10,214.05,61.95,-269.84
400,1.69,-8.05,-0.33,225.22,61.71,-273.99
410,2.31,-9.28,-0.23,226.68,60.85,-274.78
420,2.79,-10.06,-0.39,189.45,34.97,-251.04
430,3.26,-10.64,-2.10,160.34,11.23,-227.42
440,2.39,-11.49,-2.27,128.54,-7.39,-198.49
450,2.08,-11.91,-2.53,107.06,-20.75,-166.38
460,1.60,-12.14,-2.67,90.45,-28.32,-138.37
470,1.04,-12.91,-2.35,72.45,-45.35,-100.04
480,1.03,-12.92,-3.12,45.90,-34.36,-85.39
490,1.20,-12.97,-2.86,40.10,-34.48,-68.91
500,0.93,-13.37,-2.50,41.26,-37.23,-52.61
510,0.64,-13.70,-2.22,43.33,-44.31,-38.27
520,0.54,-14.05,-1.74,42.11,-49.99,-26.12
530,1.07,-14.64,-0.95,31.07,-54.87,-1.77
540,1.36,-14.75,-0.12,19.71,-55.42,14.28
550,1.63,-15.08,0.87,5.19,-56.52,32.78
560,2.19,-15.14,1.71,-18.80,-56.03,54.87
570,2.55,-14.87,2.27,-54.93,-53.28,81.42
580,2.71,-14.30,2.91,-133.30,-44.98,133.67
590,2.52,-12.64,2.86,-166.20,-39.92,154.36
600,2.58,-11.63,2.98,-195.98,-33.57,169.37
610,2.51,-10.73,3.31,-224.67,-28.44,179.20
620,2.53,-10.07,3.57,-252.38,-27.22,184.02
630,2.83,-9.76,3.52,-298.89,-28.20,182.43
640,2.71,-8.73,3.39,-311.10,-29.79,176.64
650,2.96,-8.32,3.87,-314.39,-31.19,166.99
660,3.32,-8.13,4.25,-314.88,-32.53,157.90
670,3.96,-7.62,4.35,-315.31,-32.78,152.71
680,4.37,-6.78,4.61,-312.56,-32.35,151.86
690,5.27,-6.62,5.92,-309.69,-35.64,156.98
700,5.25,-6.60,6.55,-327.58,-41.56,166.50
710,5.15,-6.75,6.81,-355.83,-48.95,177.80
720,4.81,-6.63,7.01,-388.92,-57.74,188.17
730,4.78,-6.49,6.46,-420.35,-62.19,198.43
740,3.99,-5.00,5.39,-464.36,-52.67,220.83
750,3.66,-3.93,4.69,-467.71,-46.45,228.82
760,3.46,-2.81,4.07,-457.58,-43.09,231.63
770,3.87,-1.87,3.96,-434.81,-40.59,231.81
780,4.24,-1.10,4.19,-404.66,-37.60,234.92
790,4.54,-0.91,4.45,-343.57,-25.15,264.53
800,4.04,0.30,5.42,-322.08,-14.22,286.19
810,3.04,0.86,5.48,-304.26,-6.35,304.99
820,2.49,1.79,5.08,-283.26,-1.77,315.25
830,2.21,2.95,4.90,-250.98,1.65,315.86
840,2.15,3.71,5.32,-206.79,10.80,304.99
850,2.14,5.27,6.56,-126.77,16.24,302.19
860,1.74,6.22,6.87,-100.34,23.99,299.50
870,0.67,7.02,7.06,-78.06,35.64,293.95
880,-0.42,7.64,6.68,-55.66,47.12,284.55
890,-1.17,8.55,6.36,-36.56,58.47,266.91
900,-1.98,10.11,6.18,-1.28,75.26,214.29
910,-2.44,10.92,5.96,17.76,81.67,189.15
920,-3.03,11.49,6.02,36.50,88.62,166.08
930,-3.81,12.00,5.95,52.98,94.30,142.64
940,-3.39,11.82,5.99,63.35,98.88,120.24
950,-3.78,11.94,5.72,74.28,100.71,68.48
960,-3.70,11.59,5.28,79.53,96.68,45.47
970,-3.65,11.46,5.05,86.98,90.82,20.87
980,-3.92,11.68,4.77,92.71,83.44,-5.98
990,-3.66,11.89,4.49,96.25,74.89,-31.68
