timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-2.89,-7.28,9.84,-63.84,-50.72,-29.54
10,-3.15,-7.86,7.78,-69.76,-56.21,-19.71
20,-2.36,-9.95,8.63,-72.20,-51.03,-1.28
30,-1.14,-9.93,10.47,-83.01,-41.56,13.43
40,-0.91,-8.59,12.14,-78.25,-29.30,24.90
50,-1.07,-8.04,12.11,-25.82,-21.00,31.07
60,-0.70,-8.29,12.47,-10.86,-24.60,37.11
70,-0.32,-8.23,13.62,-4.82,-20.51,39.61
80,-0.36,-7.84,14.77,-0.37,-8.12,35.83
90,-0.66,-8.17,14.87,5.31,12.15,28.26
100,-0.97,-8.46,14.69,-3.11,58.11,18.31
110,-0.89,-8.42,14.95,-13.31,77.27,19.29
120,-0.48,-8.34,15.28,-19.59,93.44,22.22
130,-0.07,-8.29,15.50,-20.57,105.96,24.72
140,-0.00,-8.34,15.53,-16.85,115.42,26.73
150,-0.04,-8.43,15.49,-0.98,127.14,28.26
160,-2.42,-8.77,15.71,6.90,127.93,27.65
170,-2.04,-8.54,13.66,15.01,134.89,28.87
180,-3.53,-8.80,12.81,25.76,144.04,32.59
190,-4.11,-9.28,11.85,27.34,154.85,37.23
200,-4.71,-9.57,10.84,28.44,174.93,51.76
210,-4.95,-8.97,8.63,21.85,184.27,61.04
220,-4.98,-8.22,6.73,19.10,191.77,72.88
230,-4.57,-7.59,4.96,13.85,196.11,85.45
240,-3.88,-7.17,4.27,4.15,193.05,96.80
250,-3.36,-6.62,4.01,-7.08,179.50,104.74
260,-3.23,-5.14,3.28,-10.19,149.17,113.34
270,-3.16,-4.68,2.61,-4.15,138.98,119.63
280,-3.06,-4.25,1.75,1.04,128.17,127.08
290,-2.94,-3.77,1.00,1.83,116.33,134.22
300,-2.80,-3.27,0.48,-0.37,105.71,139.65
310,-2.58,-2.73,-0.43,-5.62,87.77,147.52
320,-2.62,-1.40,-1.21,-8.42,80.87,150.94
330,-2.38,-0.83,-2.46,-13.18,76.35,154.48
340,-1.99,-0.08,-3.16,-24.41,67.81,157.23
350,-1.25,0.60,-2.88,-41.93,50.66,159.18
360,-0.61,1.46,-1.82,-58.04,7.63,155.58
370,-0.21,3.26,0.16,-53.10,-16.11,149.60
380,-0.24,4.46,0.53,-43.52,-41.56,147.95
390,-0.19,5.14,0.74,-30.94,-65.00,152.10
400,0.05,5.45,1.15,-20.32,-85.02,156.98
410,0.79,5.57,1.82,-9.83,-117.68,148.13
420,1.62,6.04,2.58,7.93,-128.85,136.05
430,1.71,6.21,2.75,13.43,-138.06,123.11
440,1.94,6.49,3.16,13.31,-145.51,109.25
450,2.25,6.79,4.00,8.30,-151.55,96.01
460,2.57,7.08,4.62,1.95,-154.85,83.44
470,3.62,7.42,5.89,-11.78,-152.04,57.25
480,3.83,7.78,6.87,-15.26,-151.79,41.56
490,4.26,7.97,7.50,-13.61,-151.73,25.21
500,4.78,8.19,9.02,-8.06,-149.96,8.06
510,4.16,8.59,9.42,-3.97,-158.39,-8.73
520,3.83,8.64,9.58,6.71,-171.75,-35.58
530,3.35,7.64,11.32,12.08,-169.80,-49.19
540,2.42,7.45,12.76,17.09,-165.16,-63.35
550,1.72,7.18,14.60,26.18,-159.36,-75.68
560,1.08,6.96,15.96,37.11,-156.01,-86.18
570,0.41,6.51,16.75,47.91,-146.91,-102.05
580,0.26,5.50,18.50,61.28,-141.36,-108.64
590,0.44,4.77,19.06,65.49,-132.20,-116.21
600,0.49,3.93,19.43,67.20,-116.15,-126.77
610,0.45,3.00,19.98,66.16,-93.81,-140.14
620,0.25,1.92,20.58,64.88,-69.64,-170.53
630,-0.99,-0.14,21.64,67.26,-27.65,-178.83
640,-1.47,-0.98,22.31,69.76,-8.91,-183.90
650,-1.96,-1.77,22.68,75.99,7.63,-184.39
660,-2.34,-2.62,22.75,83.37,23.38,-181.46
670,-2.38,-3.59,22.66,88.75,38.09,-175.42
680,-2.14,-5.94,21.64,91.25,72.57,-158.94
690,-1.96,-6.99,20.58,89.36,94.73,-152.65
700,-2.26,-7.69,19.44,84.05,118.90,-148.01
710,-2.61,-8.04,18.15,75.99,142.40,-142.40
720,-2.87,-8.28,16.82,66.65,164.12,-134.46
730,-2.98,-8.36,15.65,46.57,196.29,-114.38
740,-2.96,-7.70,13.57,39.98,205.81,-102.48
750,-2.82,-7.24,12.00,35.89,212.22,-90.52
760,-2.55,-6.91,9.99,32.53,217.47,-80.69
770,-2.13,-6.76,8.40,26.37,219.12,-73.97
780,-1.88,-6.53,6.75,18.98,214.90,-69.40
790,-1.38,-6.30,4.10,7.26,198.49,-68.60
800,-1.24,-6.11,3.54,2.32,182.31,-67.38
810,-1.10,-5.80,2.77,-0.24,162.05,-64.88
820,-0.88,-5.83,1.86,-0.67,142.33,-61.52
830,-0.67,-5.83,1.01,-2.81,123.11,-58.59
840,-0.58,-5.89,1.05,-6.77,86.85,-52.49
850,-0.63,-5.91,1.06,-3.11,75.44,-46.75
860,-0.53,-6.09,0.80,3.78,68.60,-39.25
870,-0.44,-6.28,0.22,10.62,62.38,-31.92
880,-0.32,-6.57,-0.24,12.51,53.89,-24.41
890,-0.05,-6.71,0.02,4.52,36.56,-10.80
900,0.28,-6.51,1.06,-2.32,28.87,-3.60
910,0.80,-6.50,1.75,-5.86,24.17,3.23
920,1.15,-6.30,2.57,-6.29,21.73,8.73
930,1.37,-5.90,3.35,-6.59,17.21,12.88
940,1.64,-5.48,4.18,-5.86,4.33,25.02
950,2.54,-4.69,5.94,-2.50,-0.61,30.15
960,3.02,-4.35,6.42,2.81,-2.44,32.96
970,3.49,-4.10,6.56,8.30,-2.62,32.29
980,3.82,-3.97,6.64,10.74,-2.44,28.75
990,4.05,-3.94,6.83,10.07,-2.56,23.99
